Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
emp_gadget_expl,emp_gadget_expl_atmo,weapons\grenade\emp\emp_grenade_expl_main_01.LN.75.48000.all
emp_gadget_expl,emp_gadget_expl_atmo,weapons\grenade\emp\emp_grenade_expl_main_02.LN.75.48000.all
emp_gadget_expl,emp_gadget_expl_atmo,weapons\grenade\emp\emp_grenade_expl_main_03.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_ext_01.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_ext_02.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_ext_07.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_int_01.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_int_02.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_soft_ext_01.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_soft_ext_03.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_soft_ext_05.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_int_01.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_int_02.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_metal_ext_02.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_metal_ext_04.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_metal_ext_05.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_int_01.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_int_02.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_water_ext_01.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_water_ext_02.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_water_ext_03.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_int_01.LN.75.48000.all
emp_gadget_expl_atmo,emp_gadget_expl_far,explosions\frag\frag_expl_env_int_02.LN.75.48000.all
emp_gadget_expl_dist,,explosions\frag\frag_expl_far_dist_01.LN.75.48000.all
emp_gadget_expl_dist,,explosions\frag\frag_expl_far_dist_03.LN.75.48000.all
emp_gadget_expl_dist,,explosions\frag\frag_expl_far_dist_05.LN.75.48000.all
emp_gadget_expl_dist,,explosions\frag\frag_expl_far_dist_01.LN.75.48000.all
emp_gadget_expl_dist,,explosions\frag\frag_expl_far_dist_03.LN.75.48000.all
emp_gadget_expl_dist,,explosions\frag\frag_expl_far_dist_05.LN.75.48000.all
emp_gadget_expl_far,emp_gadget_expl_dist,explosions\frag\frag_expl_med_dist_08.LN.75.48000.all
emp_gadget_expl_far,emp_gadget_expl_dist,explosions\frag\frag_expl_med_dist_09.LN.75.48000.all
emp_gadget_expl_far,emp_gadget_expl_dist,explosions\frag\frag_expl_med_dist_10.LN.75.48000.all
emp_gadget_expl_far,emp_gadget_expl_dist,explosions\frag\frag_expl_med_dist_01.LN.75.48000.all
emp_gadget_expl_far,emp_gadget_expl_dist,explosions\frag\frag_expl_med_dist_03.LN.75.48000.all
emp_gadget_expl_far,emp_gadget_expl_dist,explosions\frag\frag_expl_med_dist_05.LN.75.48000.all
emp_gadget_expl_field_of_impact,,weapons\grenade\emp\emp_grenade_player_scramble.PN.75.48000.all
emp_gadget_expl_field_of_impact_end,,weapons\grenade\emp\emp_grenade_player_scramble_end.LN.75.48000.all
emp_gadget_tell,,weapons\grenade\emp\emp_grenade_tell.LL.75.48000.all
emp_gadget_vehicle_disabled_end,,weapons\grenade\emp\emp_grenade_vehicle_disabled_end.LN.75.48000.all
emp_gadget_vehicle_disabled_lp,,weapons\grenade\emp\emp_grenade_vehicle_disabled_lp.LL.75.48000.all
