Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
fafir_anticipation_earthquake_lr,fafir_anticipation_earthquake_lsrs,mp\br\event_fafir\fafir_anticipation_earthquake_01_lr.PN.75.44100.all
fafir_anticipation_earthquake_lsrs,,mp\br\event_fafir\fafir_anticipation_earthquake_01_lsrs.PN.75.44100.all
fafir_impact_dist_med,,mp\br\monsterverse\kenosha\ken_impact_dist_med_01.LN.85.48000.all
fafir_impact_dist_med,,mp\br\monsterverse\kenosha\ken_impact_dist_med_02.LN.85.48000.all
fafir_impact_dist_med,,mp\br\monsterverse\kenosha\ken_impact_dist_med_03.LN.85.48000.all
fafir_impact_dist_med,,mp\br\monsterverse\kenosha\ken_impact_dist_med_04.LN.85.48000.all
fafir_impact_dist_med,,mp\br\monsterverse\kenosha\ken_impact_dist_med_05.LN.85.48000.all
fafir_lava_bomb_air_loop,,mp\br\event_fafir\fafir_lava_bomb_flame_loop_01.LL.85.48000.all
fafir_lava_bomb_ground_impact_debris,fafir_lava_bomb_ground_impact_lfe,mp\br\monsterverse\kenosha\ken_rock_impact_debris_01.LN.85.48000.all
fafir_lava_bomb_ground_impact_debris,fafir_lava_bomb_ground_impact_lfe,mp\br\monsterverse\kenosha\ken_rock_impact_debris_02.LN.85.48000.all
fafir_lava_bomb_ground_impact_debris,fafir_lava_bomb_ground_impact_lfe,mp\br\monsterverse\kenosha\ken_rock_impact_debris_03.LN.85.48000.all
fafir_lava_bomb_ground_impact_debris,fafir_lava_bomb_ground_impact_lfe,mp\br\monsterverse\kenosha\ken_rock_impact_debris_04.LN.85.48000.all
fafir_lava_bomb_ground_impact_debris,fafir_lava_bomb_ground_impact_lfe,mp\br\monsterverse\kenosha\ken_rock_impact_debris_05.LN.85.48000.all
fafir_lava_bomb_ground_impact_lfe,fafir_impact_dist_med,mp\br\monsterverse\kenosha\ken_ground_impact_lfe_01.LN.85.48000.all
fafir_lava_bomb_ground_impact_lfe,fafir_impact_dist_med,mp\br\monsterverse\kenosha\ken_ground_impact_lfe_02.LN.85.48000.all
fafir_lava_bomb_ground_impact_lfe,fafir_impact_dist_med,mp\br\monsterverse\kenosha\ken_ground_impact_lfe_03.LN.85.48000.all
fafir_lava_bomb_ground_impact_lfe,fafir_impact_dist_med,mp\br\monsterverse\kenosha\ken_ground_impact_lfe_04.LN.85.48000.all
fafir_lava_bomb_ground_impact_lfe,fafir_impact_dist_med,mp\br\monsterverse\kenosha\ken_ground_impact_lfe_05.LN.85.48000.all
fafir_lava_bomb_ground_impact_main,fafir_lava_bomb_ground_impact_debris,mp\br\monsterverse\kenosha\ken_ground_impact_main_01.LN.85.48000.all
fafir_lava_bomb_ground_impact_main,fafir_lava_bomb_ground_impact_debris,mp\br\monsterverse\kenosha\ken_ground_impact_main_02.LN.85.48000.all
fafir_lava_bomb_ground_impact_main,fafir_lava_bomb_ground_impact_debris,mp\br\monsterverse\kenosha\ken_ground_impact_main_03.LN.85.48000.all
