Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
br_infil_skilo_plane_lp,,mp\br\infil\ch3\br_infil_skilo_plane_lp.SL.85.48000.all
br_infil_skilo_plane_propeller_fire_lp,br_infil_skilo_plane_propeller_sputter_lp,amb_emitters\fire\emt_fire_big_loop02.LL.75.48000.all
br_infil_skilo_plane_propeller_sputter_lp,,mp\br\infil\ch3\br_infil_skilo_plane_propeller_sputter_lp.LL.75.48000.all
flak_expl_far,flak_expl_lfe,explosions\frag\frag_expl_med_dist_01_short.LN.75.48000.all
flak_expl_far,flak_expl_lfe,explosions\frag\frag_expl_med_dist_03_short.LN.75.48000.all
flak_expl_far,flak_expl_lfe,explosions\frag\frag_expl_med_dist_05_short.LN.75.48000.all
flak_expl_far,flak_expl_lfe,explosions\frag\frag_expl_med_dist_08_short.LN.75.48000.all
flak_expl_far,flak_expl_lfe,explosions\frag\frag_expl_med_dist_09_short.LN.75.48000.all
flak_expl_far,flak_expl_lfe,explosions\frag\frag_expl_med_dist_10_short.LN.75.48000.all
flak_expl_far_dbl,flak_expl_lfe_dbl,explosions\frag\frag_expl_med_dist_01_short.LN.75.48000.all
flak_expl_far_dbl,flak_expl_lfe_dbl,explosions\frag\frag_expl_med_dist_03_short.LN.75.48000.all
flak_expl_far_dbl,flak_expl_lfe_dbl,explosions\frag\frag_expl_med_dist_05_short.LN.75.48000.all
flak_expl_far_dbl,flak_expl_lfe_dbl,explosions\frag\frag_expl_med_dist_08_short.LN.75.48000.all
flak_expl_far_dbl,flak_expl_lfe_dbl,explosions\frag\frag_expl_med_dist_09_short.LN.75.48000.all
flak_expl_far_dbl,flak_expl_lfe_dbl,explosions\frag\frag_expl_med_dist_10_short.LN.75.48000.all
flak_expl_lfe,,explosions\frag\frag_expl_lfe_01.LN.75.48000.all
flak_expl_lfe,,explosions\frag\frag_expl_lfe_02.LN.75.48000.all
flak_expl_lfe,,explosions\frag\frag_expl_lfe_03.LN.75.48000.all
flak_expl_lfe_dbl,,explosions\frag\frag_expl_lfe_01.LN.75.48000.all
flak_expl_lfe_dbl,,explosions\frag\frag_expl_lfe_02.LN.75.48000.all
flak_expl_lfe_dbl,,explosions\frag\frag_expl_lfe_03.LN.75.48000.all
flak_expl_lfe_dbl,,explosions\frag\frag_expl_lfe_04.LN.75.48000.all
flak_expl_lfe_dbl,,explosions\frag\frag_expl_lfe_05.LN.75.48000.all
flak_expl_trans,flak_expl_far,explosions\frag\frag_expl_trans_01.LN.75.48000.all
flak_expl_trans,flak_expl_far,explosions\frag\frag_expl_trans_02.LN.75.48000.all
flak_expl_trans,flak_expl_far,explosions\frag\frag_expl_trans_03.LN.75.48000.all
flak_expl_trans,flak_expl_far,explosions\frag\frag_expl_trans_04.LN.75.48000.all
flak_expl_trans,flak_expl_far,explosions\frag\frag_expl_trans_05.LN.75.48000.all
flak_expl_trans,flak_expl_far,explosions\frag\frag_expl_trans_06.LN.75.48000.all
flak_expl_trans,flak_expl_far_dbl,explosions\frag\frag_expl_trans_dbl_01.LN.75.48000.all
flak_expl_trans,flak_expl_far_dbl,explosions\frag\frag_expl_trans_dbl_02.LN.75.48000.all
flak_expl_trans,flak_expl_far_dbl,explosions\frag\frag_expl_trans_dbl_03.LN.75.48000.all
flak_expl_trans,flak_expl_far_dbl,explosions\frag\frag_expl_trans_dbl_04.LN.75.48000.all
flak_expl_trans,flak_expl_far_dbl,explosions\frag\frag_expl_trans_dbl_05.LN.75.48000.all
flak_expl_trans,flak_expl_far_dbl,explosions\frag\frag_expl_trans_dbl_06.LN.75.48000.all
