Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
iw8_c130_drop_mkilo,iw8_c130_drop_mkilo_impact,vehicles\impacts\iw8_mp_br_truck_land.LN.75.44100.all
iw8_c130_drop_mkilo_chute,,mp\killstreaks\bradley\tw_land_parachute_unlatch.LN.75.44100.all
iw8_c130_drop_mkilo_impact,iw8_c130_drop_mkilo_suspension,vehicles\impacts\lrg_phys_impact_hard_dirt_01.LN.75.48000.all
iw8_c130_drop_mkilo_impact,iw8_c130_drop_mkilo_suspension,vehicles\impacts\lrg_phys_impact_hard_dirt_02.LN.75.48000.all
iw8_c130_drop_mkilo_impact,iw8_c130_drop_mkilo_suspension,vehicles\impacts\lrg_phys_impact_hard_dirt_03.LN.75.48000.all
iw8_c130_drop_mkilo_impact,iw8_c130_drop_mkilo_suspension,vehicles\impacts\lrg_phys_impact_hard_dirt_04.LN.75.48000.all
iw8_c130_drop_mkilo_impact,iw8_c130_drop_mkilo_suspension,vehicles\impacts\lrg_phys_impact_hard_dirt_05.LN.75.48000.all
iw8_c130_drop_mkilo_suspension,,vehicles\suspension\lg_veh_suspension_01.LN.75.48000.all
iw8_c130_drop_mkilo_suspension,,vehicles\suspension\lg_veh_suspension_02.LN.75.48000.all
iw8_c130_drop_mkilo_suspension,,vehicles\suspension\lg_veh_suspension_03.LN.75.48000.all
iw8_c130_drop_mkilo_suspension,,vehicles\suspension\lg_veh_suspension_04.LN.75.48000.all
iw8_c130_drop_mkilo_suspension,,vehicles\suspension\lg_veh_suspension_05.LN.75.48000.all
iw8_cargotruck_drop_c130,iw8_cargotruck_drop_c130_close,mp\killstreaks\bradley\tw_c130_dist_lp.SL.60.44100.all
iw8_cargotruck_drop_c130_close,iw8_bradley_drop_c130_roar,mp\killstreaks\bradley\tw_c130_close_lp.SL.60.44100.all
iw8_tw_truck_add_armor,,mp\br\truckwars\iw8_tw_truck_add_armor.LN.75.44100.all
iw8_tw_truck_add_radar,,mp\br\truckwars\iw8_tw_truck_add_radar.LN.75.44100.all
iw8_tw_truck_add_trophy,,mp\br\truckwars\iw8_tw_truck_add_trophy.LN.75.44100.all
iw8_tw_truck_repair_lp,,mp\br\truckwars\iw8_tw_truck_repair_lp.LN.75.44100.all
iw8_tw_truck_warning_lp,,vehicles\damage\iw8_truck_mg_warning_lp.LL.75.44100.all
veh_mkilo_mg_expl_armor,veh_mkilo_mg_expl_armor_lfe,vehicles\bradley\destr\veh_bradley_expl_armor_01.LN.75.44100.all
veh_mkilo_mg_expl_armor,veh_mkilo_mg_expl_armor_lfe,vehicles\bradley\destr\veh_bradley_expl_armor_02.LN.75.44100.all
veh_mkilo_mg_expl_armor_lfe,,vehicles\bradley\destr\veh_bradley_expl_armor_lfe.LN.85.44100.all
veh_mkilo_mg_expl_destr_body,veh_mkilo_mg_expl_destr_swt,vehicles\bradley\destr\veh_bradley_expl_armor_01.LN.75.44100.all
veh_mkilo_mg_expl_destr_body,veh_mkilo_mg_expl_destr_swt,vehicles\bradley\destr\veh_bradley_expl_armor_02.LN.75.44100.all
veh_mkilo_mg_expl_destr_debris,veh_mkilo_mg_expl_destr_lfe,vehicles\bradley\destr\veh_bradley_expl_destr_debris_01.LN.75.44100.all
veh_mkilo_mg_expl_destr_dist,scr_wex_exp_large_urb_ext_dist_lr_plr_default,explosions\frag\frag_expl_dist_01.LN.75.48000.all
veh_mkilo_mg_expl_destr_dist,scr_wex_exp_large_urb_ext_dist_lr_plr_default,explosions\frag\frag_expl_dist_02.LN.75.48000.all
veh_mkilo_mg_expl_destr_dist,scr_wex_exp_large_urb_ext_dist_lr_plr_default,explosions\frag\frag_expl_dist_03.LN.75.48000.all
veh_mkilo_mg_expl_destr_dist,scr_wex_exp_large_urb_ext_dist_lr_plr_default,explosions\frag\frag_expl_dist_04.LN.75.48000.all
veh_mkilo_mg_expl_destr_lfe,veh_mkilo_mg_expl_destr_dist,vehicles\bradley\destr\veh_bradley_expl_destr_lfe.LN.85.44100.all
veh_mkilo_mg_expl_destr_swt,veh_mkilo_mg_expl_destr_debris,vehicles\bradley\destr\veh_bradley_expl_destr_swt_01.LN.75.44100.all
veh_mkilo_mg_expl_mtl,veh_mkilo_mg_expl_destr_body,vehicles\bradley\destr\veh_bradley_expl_destr_01.LN.75.44100.all
veh_mkilo_mg_explode,veh_mkilo_mg_expl_mtl,explosions\car\explo_car_blast_01.LN.75.48000.all
veh_mkilo_mg_explode,veh_mkilo_mg_expl_mtl,explosions\car\explo_car_blast_02.LN.75.48000.all
veh_mkilo_mg_explode,veh_mkilo_mg_expl_mtl,explosions\car\explo_car_blast_03.LN.75.48000.all
veh_mkilo_mg_explode,veh_mkilo_mg_expl_mtl,explosions\car\explo_car_blast_04.LN.75.48000.all
veh_mkilo_mg_explode,veh_mkilo_mg_expl_mtl,explosions\car\explo_car_blast_05.LN.75.48000.all
