Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
ac130_40mm_fire_npc,,
ac130_40mm_fire_npc,,
ac130_40mm_fire_npc,,
ac130_40mm_fire_npc,,
ac130_40mm_fire_npc,,
ac130_40mm_fire_npc,,
banner_zmb_infestation_active_lfe,,level\zombie\sfx_banner_zmb_infestation_active_lfe.PN.85.48000.all
banner_zmb_infestation_active_lr,banner_zmb_infestation_active_lsrs,level\zombie\sfx_banner_zmb_infestation_active_lr.PN.85.48000.all
banner_zmb_infestation_active_lsrs,banner_zmb_infestation_active_lfe,level\zombie\sfx_banner_zmb_infestation_active_lsrs.PN.85.48000.all
banner_zmb_infestation_imminent_lfe,,level\zombie\sfx_banner_zmb_infestation_imminent_lfe.PN.85.48000.all
banner_zmb_infestation_imminent_lr,banner_zmb_infestation_imminent_lsrs,level\zombie\sfx_banner_zmb_infestation_imminent_lr.PN.85.48000.all
banner_zmb_infestation_imminent_lsrs,banner_zmb_infestation_imminent_lfe,level\zombie\sfx_banner_zmb_infestation_imminent_lsrs.PN.85.48000.all
banner_zmb_medical_supplies_lfe,,level\zombie\sfx_banner_zmb_medical_supplies_lfe.PN.85.48000.all
banner_zmb_medical_supplies_lr,banner_zmb_medical_supplies_lsrs,level\zombie\sfx_banner_zmb_medical_supplies_lr.PN.85.48000.all
banner_zmb_medical_supplies_lsrs,banner_zmb_medical_supplies_lfe,level\zombie\sfx_banner_zmb_medical_supplies_lsrs.PN.85.48000.all
br_exfil_zmb_part1_1person_lfe,,level\zombie\br_exfil_zmb_part1_1person_lfe.PN.75.44100.all
br_exfil_zmb_part1_1person_lr,br_exfil_zmb_part1_1person_lsrs,level\zombie\br_exfil_zmb_part1_1person_lr.PN.75.44100.all
br_exfil_zmb_part1_1person_lsrs,br_exfil_zmb_part1_1person_lfe,level\zombie\br_exfil_zmb_part1_1person_lsrs.PN.75.44100.all
br_exfil_zmb_part1_2person_lfe,,level\zombie\br_exfil_zmb_part1_2person_lfe.PN.75.44100.all
br_exfil_zmb_part1_2person_lr,br_exfil_zmb_part1_2person_lsrs,level\zombie\br_exfil_zmb_part1_2person_lr.PN.75.44100.all
br_exfil_zmb_part1_2person_lsrs,br_exfil_zmb_part1_2person_lfe,level\zombie\br_exfil_zmb_part1_2person_lsrs.PN.75.44100.all
br_exfil_zmb_part1_3person_lfe,,level\zombie\br_exfil_zmb_part1_3person_lfe.PN.75.44100.all
br_exfil_zmb_part1_3person_lr,br_exfil_zmb_part1_3person_lsrs,level\zombie\br_exfil_zmb_part1_3person_lr.PN.75.44100.all
br_exfil_zmb_part1_3person_lsrs,br_exfil_zmb_part1_3person_lfe,level\zombie\br_exfil_zmb_part1_3person_lsrs.PN.75.44100.all
br_exfil_zmb_part1_4person_lfe,,level\zombie\br_exfil_zmb_part1_4person_lfe.PN.75.44100.all
br_exfil_zmb_part1_4person_lr,br_exfil_zmb_part1_4person_lsrs,level\zombie\br_exfil_zmb_part1_4person_lr.PN.75.44100.all
