Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
exec_s4_arizona_prone_electric_01,,s4\mp\executions\arizona\mp_execution_arizona_prone_electric_01.PN.75.44100.all
exec_s4_arizona_prone_fall_01,,s4\mp\executions\arizona\mp_execution_arizona_prone_fall_01.PN.75.44100.all
exec_s4_arizona_prone_foley_01,,s4\mp\executions\arizona\mp_execution_arizona_prone_foley_01.PN.75.44100.all
exec_s4_arizona_prone_hit_01,,s4\mp\executions\arizona\mp_execution_arizona_prone_hit_01.PN.75.44100.all
exec_s4_arizona_prone_mp40_01,,s4\mp\executions\arizona\mp_execution_arizona_prone_mp40_01.PN.75.44100.all
exec_s4_arizona_prone_teleport_01,,s4\mp\executions\arizona\mp_execution_arizona_prone_teleport_01.PN.75.44100.all
exec_s4_arizona_prone_teleport_exit_01,,s4\mp\executions\arizona\mp_execution_arizona_prone_teleport_01.PN.75.44100.all
exec_s4_arizona_stand_electric_01,exec_baton_swing_slow,s4\mp\executions\arizona\mp_execution_arizona_stand_electric_01.PN.75.44100.all
exec_s4_arizona_stand_fall_01,exec_baton_swing_slow,s4\mp\executions\arizona\mp_execution_arizona_stand_fall_01.PN.75.44100.all
exec_s4_arizona_stand_foley_01,exec_baton_swing_slow,s4\mp\executions\arizona\mp_execution_arizona_stand_foley_01.PN.75.44100.all
exec_s4_arizona_stand_foley_02,exec_baton_swing_slow,s4\mp\executions\arizona\mp_execution_arizona_stand_foley_02.PN.75.44100.all
exec_s4_arizona_stand_hit_01,exec_baton_swing_slow,s4\mp\executions\arizona\mp_execution_arizona_stand_hit_01.PN.75.44100.all
exec_s4_arizona_stand_mp40_01,exec_baton_swing_slow,s4\mp\executions\arizona\mp_execution_arizona_stand_mp40_01.PN.75.44100.all
exec_s4_arizona_stand_teleport_01,exec_baton_swing_slow,s4\mp\executions\arizona\mp_execution_arizona_stand_teleport_01.PN.75.44100.all
exec_s4_arizona_stand_teleport_exit_01,exec_baton_swing_slow,s4\mp\executions\arizona\mp_execution_arizona_stand_teleport_01.PN.75.44100.all
exec_s4_bat_wood_hit,,s4\mp\executions\mp_execution_melee_bat_wood_hit_01.PN.75.44100.all
exec_s4_bat_wood_hit,,s4\mp\executions\mp_execution_melee_bat_wood_hit_02.PN.75.44100.all
exec_s4_bat_wood_hit,,s4\mp\executions\mp_execution_melee_bat_wood_hit_03.PN.75.44100.all
exec_s4_bat_wood_hit,,s4\mp\executions\mp_execution_melee_bat_wood_hit_04.PN.75.44100.all
exec_s4_bearhug_prone_attacker_foley_01,,s4\mp\executions\generic\mp_execution_bearhug_prone_foley_01.PN.75.44100.all
exec_s4_bearhug_prone_attacker_foley_02,,s4\mp\executions\generic\mp_execution_bearhug_prone_foley_02.PN.75.44100.all
exec_s4_bearhug_prone_attacker_hit_01,,s4\mp\executions\generic\mp_execution_bearhug_prone_hits_01.PN.75.44100.all
exec_s4_bearhug_prone_attacker_hit_02,,s4\mp\executions\generic\mp_execution_bearhug_prone_hits_02.PN.75.44100.all
