Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
amb_soa_elevator_int_lr,amb_soa_elevator_int_lsrs,ambient\mp_soa_tower\amb_soa_office_small_lr.SL.75.36000.all
amb_soa_elevator_int_lsrs,,ambient\mp_soa_tower\amb_soa_office_small_lsrs.SL.75.36000.all
amb_soa_elevator_shaft_lr,amb_soa_elevator_shaft_lsrs,ambient\mp_soa_tower\amb_soa_elevator_shaft_lr.SL.75.36000.all
amb_soa_elevator_shaft_lsrs,,ambient\mp_soa_tower\amb_soa_elevator_shaft_lsrs.SL.75.36000.all
amb_soa_hallway_lr,amb_soa_hallway_lsrs,ambient\mp_soa_tower\amb_soa_hallway_lr.SL.75.36000.all
amb_soa_hallway_lsrs,,ambient\mp_soa_tower\amb_soa_hallway_lsrs.SL.75.36000.all
amb_soa_maintenance_int_lr,amb_soa_maintenance_int_lsrs,ambient\mp_soa_tower\amb_soa_maintenance_lr.SL.75.36000.all
amb_soa_maintenance_int_lsrs,,ambient\mp_soa_tower\amb_soa_maintenance_lsrs.SL.75.36000.all
amb_soa_office_main_int_lr,amb_soa_office_main_int_lsrs,ambient\mp_soa_tower\amb_soa_office_main_lr.SL.75.36000.all
amb_soa_office_main_int_lsrs,,ambient\mp_soa_tower\amb_soa_office_main_lsrs.SL.75.36000.all
amb_soa_office_medium_int_lr,amb_soa_office_medium_int_lsrs,ambient\mp_soa_tower\amb_soa_office_medium_lr.SL.75.36000.all
amb_soa_office_medium_int_lsrs,,ambient\mp_soa_tower\amb_soa_office_medium_lsrs.SL.75.36000.all
amb_soa_office_small_int_lr,amb_soa_office_small_int_lsrs,ambient\mp_soa_tower\amb_soa_office_small_lr.SL.75.36000.all
amb_soa_office_small_int_lsrs,,ambient\mp_soa_tower\amb_soa_office_small_lsrs.SL.75.36000.all
amb_soa_party_room_lr,amb_soa_party_room_lsrs,ambient\mp_soa_tower\amb_soa_party_room_lr.SL.75.36000.all
amb_soa_party_room_lsrs,,ambient\mp_soa_tower\amb_soa_party_room_lsrs.SL.75.36000.all
amb_soa_vent_crawlspace_int_lr,amb_soa_vent_crawlspace_int_lsrs,ambient\mp_soa_tower\amb_soa_vent_crawlspace_lr.SL.75.36000.all
amb_soa_vent_crawlspace_int_lsrs,,ambient\mp_soa_tower\amb_soa_vent_crawlspace_lsrs.SL.75.36000.all
dx_cap_vm_stealth_kill_back_npc,,vo_efforts\captive\dx_ru1_cap_vm_stealth_kill_back_01.SN.75.36000.all
dx_vom_pri_tunnels_intro_11,,vo_efforts\tunnels\dx_vom_tunnels_intro_pri_11.SN.75.36000.all
elm_soa_cable_creak,,amb_elements\mp_soa_tower\elm_soa_cable_creak_elevshaft_01.SN.75.48000.all
elm_soa_cable_creak,,amb_elements\mp_soa_tower\elm_soa_cable_creak_elevshaft_02.SN.75.48000.all
elm_soa_cable_creak,,amb_elements\mp_soa_tower\elm_soa_cable_creak_elevshaft_03.SN.75.48000.all
elm_soa_cable_creak,,amb_elements\mp_soa_tower\elm_soa_cable_creak_elevshaft_04.SN.75.48000.all
