Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
skyhook_balloon_inflate,,mp\fulton\fulton_balloon_skyhook.LN.85.48000.all
skyhook_deploy,,mp\equip\equip_skyhook_repair.LN.75.48000.all
skyhook_explode,skyhook_explode_body,explosions\rocket\rocket_expl_trans_01.LN.75.48000.all
skyhook_explode,skyhook_explode_body,explosions\rocket\rocket_expl_trans_02.LN.75.48000.all
skyhook_explode,skyhook_explode_body,explosions\rocket\rocket_expl_trans_03.LN.75.48000.all
skyhook_explode,skyhook_explode_body,explosions\rocket\rocket_expl_trans_04.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_ext_01.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_ext_02.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_ext_07.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_ext_08.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_ext_10.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_ext_13.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_int_01.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_int_02.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_int_03.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_int_05.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_water_ext_01.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_water_ext_02.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_water_ext_03.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_water_ext_04.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_water_ext_06.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_int_01.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_int_02.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_int_03.LN.75.48000.all
skyhook_explode_atmo,skyhook_explode_med,explosions\frag\frag_expl_env_int_05.LN.75.48000.all
skyhook_explode_body,skyhook_explode_swt,explosions\rocket\rocket_expl_body_01.LN.75.48000.all
skyhook_explode_body,skyhook_explode_swt,explosions\rocket\rocket_expl_body_02.LN.75.48000.all
skyhook_explode_body,skyhook_explode_swt,explosions\rocket\rocket_expl_body_03.LN.75.48000.all
skyhook_explode_body,skyhook_explode_swt,explosions\rocket\rocket_expl_body_04.LN.75.48000.all
skyhook_explode_body,skyhook_explode_swt,explosions\frag\frag_expl_body_sand_01.LN.75.48000.all
