Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mp_powerup_activate_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_activate_2x.LN.75.48000.all
mp_powerup_activate_killmonger_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_activate_killmonger.LN.75.48000.all
mp_powerup_activate_speed_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_activate_speed.LN.75.48000.all
mp_powerup_deactivate_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_deactivate_2x.LN.75.48000.all
mp_powerup_deactivate_killmonger_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_deactivate_killmonger.LN.75.48000.all
mp_powerup_deactivate_speed_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_deactivate_speed.LN.75.48000.all
mp_powerup_pickup_attract_2x_lp,,level\mp_don4\tu_canteen\powerups\mp_powerup_pickup_attract_2x_lp.LL.75.48000.all
mp_powerup_pickup_attract_killmonger_lp,,level\mp_don4\tu_canteen\powerups\mp_powerup_pickup_attract_killmonger_lp.LL.75.48000.all
mp_powerup_pickup_attract_speed_lp,,level\mp_don4\tu_canteen\powerups\mp_powerup_pickup_attract_speed_lp.LL.75.48000.all
mp_powerup_reactivate_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_reactivate_2x.LN.75.48000.all
mp_powerup_reactivate_killmonger_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_reactivate_killmonger.LN.75.48000.all
mp_powerup_reactivate_speed_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_reactivate_speed.LN.75.48000.all
mp_powerup_splash_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_splash_2x.LN.75.48000.all
mp_powerup_splash_killmonger_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_splash_killmonger.LN.75.48000.all
mp_powerup_splash_speed_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_splash_speed.LN.75.48000.all
mp_powerup_victim_death_2x_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_01.LN.75.44100.all
mp_powerup_victim_death_2x_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_02.LN.75.44100.all
mp_powerup_victim_death_2x_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_03.LN.75.44100.all
mp_powerup_victim_death_2x_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_04.LN.75.44100.all
mp_powerup_victim_death_2x_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_05.LN.75.44100.all
mp_powerup_victim_death_2x_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_06.LN.75.44100.all
mp_powerup_victim_death_2x_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_07.LN.75.44100.all
mp_powerup_victim_death_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_01.LN.75.44100.all
mp_powerup_victim_death_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_02.LN.75.44100.all
mp_powerup_victim_death_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_03.LN.75.44100.all
mp_powerup_victim_death_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_04.LN.75.44100.all
mp_powerup_victim_death_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_05.LN.75.44100.all
mp_powerup_victim_death_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_06.LN.75.44100.all
mp_powerup_victim_death_2x_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_2x_07.LN.75.44100.all
mp_powerup_victim_death_killmonger_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_01.LN.75.44100.all
mp_powerup_victim_death_killmonger_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_02.LN.75.44100.all
mp_powerup_victim_death_killmonger_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_03.LN.75.44100.all
mp_powerup_victim_death_killmonger_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_04.LN.75.44100.all
mp_powerup_victim_death_killmonger_npc,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_05.LN.75.44100.all
mp_powerup_victim_death_killmonger_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_01.LN.75.44100.all
mp_powerup_victim_death_killmonger_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_02.LN.75.44100.all
mp_powerup_victim_death_killmonger_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_03.LN.75.44100.all
mp_powerup_victim_death_killmonger_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_04.LN.75.44100.all
mp_powerup_victim_death_killmonger_plr,,level\mp_don4\tu_canteen\powerups\mp_powerup_victim_death_killmonger_05.LN.75.44100.all
