Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
bullet_chem_round,,weapons\grenade\smoke\smoke_expl_smoke_pop_01.LN.75.48000.all
bullet_chem_round,,weapons\grenade\smoke\smoke_expl_smoke_pop_02.LN.75.48000.all
bullet_chem_round,,weapons\grenade\smoke\smoke_expl_smoke_pop_03.LN.75.48000.all
bullet_chem_round,,weapons\grenade\smoke\smoke_expl_smoke_pop_04.LN.75.48000.all
bullet_chem_round,,weapons\grenade\smoke\smoke_expl_smoke_pop_05.LN.75.48000.all
bullet_chem_round,,weapons\grenade\smoke\smoke_expl_smoke_pop_06.LN.75.48000.all
bullet_chem_round,,weapons\grenade\smoke\smoke_expl_smoke_pop_07.LN.75.48000.all
bullet_chem_round,,weapons\grenade\smoke\smoke_expl_smoke_pop_08.LN.75.48000.all
bullet_chem_round_expl_swt_atmo,bullet_chem_round_expl_swt_tail,weapons\grenade\smoke\smoke_expl_env_ext_01.LN.75.48000.all
bullet_chem_round_expl_swt_atmo,bullet_chem_round_expl_swt_tail,weapons\grenade\smoke\smoke_expl_env_ext_02.LN.75.48000.all
bullet_chem_round_expl_swt_atmo,bullet_chem_round_expl_swt_tail,weapons\grenade\smoke\smoke_expl_env_ext_03.LN.75.48000.all
bullet_chem_round_expl_swt_atmo,bullet_chem_round_expl_swt_tail,weapons\grenade\smoke\smoke_expl_env_ext_04.LN.75.48000.all
bullet_chem_round_expl_swt_atmo,bullet_chem_round_expl_swt_tail,weapons\grenade\smoke\smoke_expl_env_int_01.LN.75.48000.all
bullet_chem_round_expl_swt_atmo,bullet_chem_round_expl_swt_tail,weapons\grenade\smoke\smoke_expl_env_int_02.LN.75.48000.all
bullet_chem_round_expl_swt_atmo,bullet_chem_round_expl_swt_tail,weapons\grenade\smoke\smoke_expl_env_int_03.LN.75.48000.all
bullet_chem_round_expl_swt_atmo,bullet_chem_round_expl_swt_tail,weapons\grenade\smoke\smoke_expl_env_int_04.LN.75.48000.all
bullet_chem_round_expl_swt_body,bullet_chem_round_expl_swt_swt,explosions\gas_grenade\mp_gas_grenade_trans_body_01.LN.75.48000.all
bullet_chem_round_expl_swt_body,bullet_chem_round_expl_swt_swt,explosions\gas_grenade\mp_gas_grenade_trans_body_02.LN.75.48000.all
bullet_chem_round_expl_swt_body,bullet_chem_round_expl_swt_swt,explosions\gas_grenade\mp_gas_grenade_trans_body_03.LN.75.48000.all
bullet_chem_round_expl_swt_body,bullet_chem_round_expl_swt_swt,explosions\gas_grenade\mp_gas_grenade_trans_body_04.LN.75.48000.all
bullet_chem_round_expl_swt_distant,bullet_chem_round_expl_swt_tone,weapons\grenade\smoke\smoke_expl_dist_01.LN.75.48000.all
bullet_chem_round_expl_swt_distant,bullet_chem_round_expl_swt_tone,weapons\grenade\smoke\smoke_expl_dist_02.LN.75.48000.all
bullet_chem_round_expl_swt_distant,bullet_chem_round_expl_swt_tone,weapons\grenade\smoke\smoke_expl_dist_03.LN.75.48000.all
