Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
s4_fd_engine_effort_lp,,vehicles\s4_fd\s4_fd_engine_effort_lp.LL.85.48000.all
s4_fd_engine_idle_lp,,vehicles\s4_fd\s4_fd_engine_idle_lp.LL.85.48000.all
s4_fd_engine_operating_lp,,vehicles\s4_fd\s4_fd_engine_operating_lp.LL.85.48000.all
s4_fd_scan_ping,,vehicles\s4_fd\s4_fd_scan_ping.LN.75.44100.all
s4_fd_shutdown_rev,,vehicles\s4_fd\s4_fd_shutdown_rev.LN.85.48000.all
s4_fd_startup_rev,,vehicles\s4_fd\s4_fd_startup_rev.LN.85.48000.all
s4_fd_target_locked,,vehicles\s4_fd\s4_fd_target_locked.LN.75.44100.all
s4_fd_thrust_cruising_lp,,vehicles\s4_fd\s4_fd_thrust_cruising_lp.LL.85.48000.all
s4_fd_thrust_loaded_lp,,vehicles\s4_fd\s4_fd_thrust_loaded_lp.LL.85.48000.all
s4_fd_thrust_unloaded_lp,,vehicles\s4_fd\s4_fd_thrust_unloaded_lp.LL.85.48000.all
s4_fd_touchdown_rumble,,vehicles\impacts\lrg_phys_impact_light_dirt_01.LN.75.48000.all
s4_fd_touchdown_rumble,,vehicles\impacts\lrg_phys_impact_light_dirt_02.LN.75.48000.all
s4_fd_touchdown_rumble,,vehicles\impacts\lrg_phys_impact_light_dirt_03.LN.75.48000.all
s4_fd_touchdown_rumble,,vehicles\impacts\lrg_phys_impact_light_dirt_04.LN.75.48000.all
s4_fd_touchdown_rumble,,vehicles\impacts\lrg_phys_impact_light_dirt_05.LN.75.48000.all
s4_fd_wheel_taxi,,vehicles\surface\tires_large_dirt_roll_fast_lp.LL.75.48000.all
s4_fd_wheel_taxi,,vehicles\surface\tires_large_asphalt_roll_fast_tonal_lp.LL.75.48000.all
s4_fd_wheel_taxi,,vehicles\surface\iw8_wet_car_tires_lp.LL.75.48000.all
s4_fd_wheel_taxi,,vehicles\surface\iw8_tires_water.LL.75.48000.all
s4_fd_wheel_touchdown,s4_fd_touchdown_rumble,vehicles\s4_fd\s4_fd_wheel_touchdown.LN.85.48000.all
weap_tur_gun_fd_mp_fire_npc,weap_tur_gun_fd_mp_fire_npc_lfe,weapons\sierra552\weap_sierra552_fire_npc_01.LN.85.44100.all
weap_tur_gun_fd_mp_fire_npc,weap_tur_gun_fd_mp_fire_npc_lfe,weapons\sierra552\weap_sierra552_fire_npc_02.LN.85.44100.all
weap_tur_gun_fd_mp_fire_npc,weap_tur_gun_fd_mp_fire_npc_lfe,weapons\sierra552\weap_sierra552_fire_npc_03.LN.85.44100.all
weap_tur_gun_fd_mp_fire_npc,weap_tur_gun_fd_mp_fire_npc_lfe,weapons\sierra552\weap_sierra552_fire_npc_04.LN.85.44100.all
weap_tur_gun_fd_mp_fire_npc,weap_tur_gun_fd_mp_fire_npc_lfe,weapons\sierra552\weap_sierra552_fire_npc_05.LN.85.44100.all
weap_tur_gun_fd_mp_fire_npc,weap_tur_gun_fd_mp_fire_npc_lfe,weapons\sierra552\weap_sierra552_fire_npc_06.LN.85.44100.all
