Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
rev_engine_2_plr,,vehicles\engine_type_2\engine_type_2_big_diesel_deuce-and-a-half_stereo_48k.LL.75.48000.all
rev_engine_2_plr_mg,,vehicles\engine_type_2\engine_type_2_big_diesel_deuce-and-a-half_stereo_48k.LL.75.48000.all
veh_horn_large_115,,vehicles\horns\dlc\115_riff\115_horn_lrg.SN.50.44100.all
veh_horn_large_1812,,vehicles\horns\dlc\1812\horn_lrg_02_1812.SN.50.44100.all
veh_horn_large_abra,,vehicles\horns\dlc\abra\abra_horn_lrg.SN.50.44100.all
veh_horn_large_alone,,vehicles\horns\dlc\alone\alone_horn_lrg.SN.50.44100.all
veh_horn_large_alwaysrun,,vehicles\horns\dlc\alwaysrun\alwaysrun_horn_lrg.SN.50.44100.all
veh_horn_large_baldmountain,,vehicles\horns\dlc\bald_mountain\horn_lrg_02_baldmtn_bass.SN.50.44100.all
veh_horn_large_beauty,,vehicles\horns\dlc\beauty\beauty_horn_lrg.SN.50.44100.all
veh_horn_large_bumblebee,,vehicles\horns\dlc\bumblebee\horn_lrg_02_bumblebee.SN.50.44100.all
veh_horn_large_cabana,,vehicles\horns\dlc\cabana\cabana_horn_lrg.SN.50.44100.all
veh_horn_large_carmen,,vehicles\horns\dlc\carmen\horn_lrg_02_habanero.SN.50.44100.all
veh_horn_large_carrion,,vehicles\horns\dlc\carrion\carr_horn_lrg.SN.50.44100.all
veh_horn_large_charge,,vehicles\horns\dlc\charge\horn_lrg_02_charge.SN.50.44100.all
veh_horn_large_comehome,,vehicles\horns\dlc\comehome\comehom_horn_lrg.SN.50.44100.all
veh_horn_large_countdown,,vehicles\horns\dlc\countdown\countdown_horn_lrg.SN.50.44100.all
veh_horn_large_csquares,,vehicles\horns\dlc\csquares\csquares_horn_lrg.SN.50.44100.all
veh_horn_large_damned,,vehicles\horns\dlc\damn\damn_horn_lrg.SN.50.44100.all
veh_horn_large_deadagain,,vehicles\horns\dlc\deadagain\deadagain_horn_lrg.SN.50.44100.all
veh_horn_large_deadended,,vehicles\horns\dlc\deadend\deadend_horn_lrg.SN.50.44100.all
veh_horn_large_deadflowers,,vehicles\horns\dlc\deadflowers\deadflower_horn_lrg.SN.50.44100.all
veh_horn_large_deadman,,vehicles\horns\dlc\deadman\deadman_horn_lrg.SN.50.44100.all
veh_horn_large_doubletime,,vehicles\horns\dlc\doubletime\doubletime_horn_lrg.SN.50.44100.all
veh_horn_large_drowning,,vehicles\horns\dlc\drowning\drown_horn_lrg.SN.50.44100.all
veh_horn_large_gift,,vehicles\horns\dlc\gift\gift_horn_lrg.SN.50.44100.all
veh_horn_large_lacucaracha,,vehicles\horns\dlc\lacucaracha\horn_lrg_02_lacucaracha.SN.50.44100.all
veh_horn_large_lost,,vehicles\horns\dlc\lost\lost_horn_lrg.SN.50.44100.all
veh_horn_large_macabre,,vehicles\horns\dlc\macabre\macabre_horn_lrg.SN.50.44100.all
veh_horn_large_mars,,vehicles\horns\dlc\mars\horn_lrg_02_mars_02.SN.50.44100.all
veh_horn_large_mask,,vehicles\horns\dlc\mask\mask_horn_lrg.SN.50.44100.all
veh_horn_large_mountainking,,vehicles\horns\dlc\mountain_king\horn_lrg_02_mountainking_01.SN.50.44100.all
veh_horn_large_paradol,,vehicles\horns\dlc\paradol\paradol_horn_lrg.SN.50.44100.all
veh_horn_large_pitfall,,vehicles\horns\dlc\pitfall\horn_lrg_02_pitfall.SN.50.44100.all
veh_horn_large_shockwave,,vehicles\horns\dlc\shockwave\shockwave_horn_lrg.SN.50.44100.all
veh_horn_large_stars,,vehicles\horns\dlc\stars_and_stripes\horn_lrg_02_starsandstripes_01.SN.50.44100.all
veh_horn_large_storm,,vehicles\horns\dlc\storm\storm_horn_lrg.SN.50.44100.all
veh_horn_large_symphonyno5,,vehicles\horns\dlc\symphony_no5\horn_lrg_02_beethoven5_01.SN.50.44100.all
veh_horn_large_toccata,,vehicles\horns\dlc\toccata_and_fugue\horn_lrg_02_toccata.SN.50.44100.all
veh_horn_large_tombstone,,vehicles\horns\dlc\tombstone\tomb_horn_lrg.SN.50.44100.all
veh_horn_large_treyarch,,vehicles\horns\dlc\treyarch\treyarch_horn_lrg.SN.50.44100.all
veh_horn_large_valkyries,,vehicles\horns\dlc\valkyries\horn_lrg_02_valkyries.SN.50.44100.all
veh_horn_large_vulture,,vehicles\horns\dlc\vulture\vulture_horn_lrg.SN.50.44100.all
veh_horn_large_wawg,,vehicles\horns\dlc\wawg\wawg_horn_lrg.SN.50.44100.all
veh_horn_large_well,,vehicles\horns\dlc\well\well_horn_lrg.SN.50.44100.all
veh_horn_large_williamtell,,vehicles\horns\dlc\williamtell\horn_lrg_02_williamtell_v2.SN.50.44100.all
veh_horn_large_zarathustra,,vehicles\horns\dlc\zarathustra\horn_lrg_02_zarathustra_v1.SN.50.44100.all
