Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
lbravo_mainrotor_rpm_high,,vehicles\lbravo\iw8_lbravo_mainrotor_rpmhigh.LL.85.48000.all
lbravo_mainrotor_rpm_high_effort,,vehicles\lbravo\iw8_lbravo_mainrotor_rpmhigh_effort.LL.85.48000.all
lbravo_mainrotor_rpm_low,,vehicles\lbravo\iw8_lbravo_mainrotor_rpmlow.LL.85.48000.all
lbravo_mainrotor_rpm_med,,
lbravo_physics_shutdown,,vehicles\lbravo\iw8_lbravo_shutdown_sfx.PN.85.48000.all
lbravo_physics_startup,,vehicles\lbravo\iw8_lbravo_startup_sfx.LN.85.48000.all
lbravo_tailrotor_rpm_high,,vehicles\lbravo\iw8_lbravo_tailrotor_highrpm.LL.85.48000.all
lbravo_tailrotor_rpm_left_effort,,vehicles\lbravo\iw8_lbravo_tailrotor_left_effort.LL.85.48000.all
lbravo_tailrotor_rpm_low,,vehicles\lbravo\iw8_lbravo_tailrotor_lowrpm.LL.85.48000.all
lbravo_tailrotor_rpm_right_effort,,vehicles\lbravo\iw8_lbravo_tailrotor_right_effort.LL.85.48000.all
lbravo_turbine_high,,vehicles\lbravo\iw8_lbravo_turbine_highrpm.LL.85.48000.all
lbravo_turbine_low,,vehicles\lbravo\iw8_lbravo_turbine_lowrpm.LL.85.48000.all
veh_horn_entertainer_lbravo,,vehicles\horns\dlc\entertainer\horn_lbird_entertainer.SN.50.44100.all
veh_horn_lbravo_01,,vehicles\horns\lbird_klaxon_05b.SN.50.44100.all
veh_horn_lbravo_115,,vehicles\horns\dlc\115_riff\115_horn_lbird.SN.50.44100.all
veh_horn_lbravo_1812,,vehicles\horns\dlc\1812\horn_lbird_1812.SN.50.44100.all
veh_horn_lbravo_abra,,vehicles\horns\dlc\abra\abra_horn_lbird.SN.50.44100.all
veh_horn_lbravo_alone,,vehicles\horns\dlc\alone\alone_horn_lbird.SN.50.44100.all
veh_horn_lbravo_alwaysrun,,vehicles\horns\dlc\alwaysrun\alwaysrun_horn_lbird.SN.50.44100.all
veh_horn_lbravo_baldmountain,,vehicles\horns\dlc\bald_mountain\horn_lbird_baldmtn.SN.50.44100.all
veh_horn_lbravo_beauty,,vehicles\horns\dlc\beauty\beauty_horn_lbird.SN.50.44100.all
veh_horn_lbravo_bumblebee,,vehicles\horns\dlc\bumblebee\horn_lbird_bumblebee.SN.50.44100.all
veh_horn_lbravo_cabana,,vehicles\horns\dlc\cabana\cabana_horn_lbird.SN.50.44100.all
veh_horn_lbravo_carmen,,vehicles\horns\dlc\carmen\horn_lbird_habanero.SN.50.44100.all
veh_horn_lbravo_carrion,,vehicles\horns\dlc\carrion\carr_horn_lbird.SN.50.44100.all
veh_horn_lbravo_charge,,vehicles\horns\dlc\charge\horn_lbird_charge.SN.50.44100.all
veh_horn_lbravo_comehome,,vehicles\horns\dlc\comehome\comehom_horn_lbird.SN.50.44100.all
veh_horn_lbravo_countdown,,vehicles\horns\dlc\countdown\countdown_horn_lbird.SN.50.44100.all
