Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_sierrax_vestlight_plr,,foley\mount\mount_enter_side_kilo121_vestlight_plr.LN.75.44100.all
mount_enter_top_sierrax_vestlight_plr,,foley\mount\mount_enter_top_kilo121_vestlight_plr.LN.75.44100.all
mount_exit_side_sierrax_vestlight_plr,,foley\mount\mount_exit_side_kilo121_vestlight_plr.LN.75.44100.all
mount_exit_top_sierrax_vestlight_plr,,foley\mount\mount_exit_top_kilo121_vestlight_plr.LN.75.44100.all
weap_lm_sierrax_ads_down,,reloads\iw8_kilo121\wfoly_lm_kilo121_ads_down.LN.75.44100.all
weap_lm_sierrax_ads_up,,reloads\iw8_kilo121\wfoly_lm_kilo121_ads_up.LN.75.44100.all
weap_lm_sierrax_selector_off,,foley\selector\weap_m4_selector_semi_on_01.LN.75.48000.all
weap_lm_sierrax_selector_off,,foley\selector\weap_m4_selector_semi_on_02.LN.75.48000.all
weap_lm_sierrax_selector_off,,foley\selector\weap_m4_selector_semi_on_03.LN.75.48000.all
weap_lm_sierrax_selector_on,,foley\selector\weap_m4_selector_semi_on_01.LN.75.48000.all
weap_lm_sierrax_selector_on,,foley\selector\weap_m4_selector_semi_on_02.LN.75.48000.all
weap_lm_sierrax_selector_on,,foley\selector\weap_m4_selector_semi_on_03.LN.75.48000.all
weap_sierrax_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_01.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_02.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_03.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_04.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_05.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_06.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_ads_01.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_ads_02.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_ads_03.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_ads_04.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_ads_05.LN.85.44100.all
weap_sierrax_dryfirst_plr,,weapons\mike14\weap_mike14_deadtrigger_plr_ads_06.LN.85.44100.all
weap_sierrax_fire_plr,weap_sierrax_fire_plr_mech,weapons\sierrax\weap_sierrax_fire_plr_01.HN.85.44100.all
weap_sierrax_fire_plr,weap_sierrax_fire_plr_mech,weapons\sierrax\weap_sierrax_fire_plr_02.HN.85.44100.all
