Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_slima_vestlight_plr,,foley\mount\mount_enter_side_pkilo_vestlight_plr.LN.75.44100.all
mount_enter_top_slima_vestlight_plr,,foley\mount\mount_enter_top_pkilo_vestlight_plr.LN.75.44100.all
mount_exit_side_slima_vestlight_plr,,foley\mount\mount_exit_side_pkilo_vestlight_plr.LN.75.44100.all
mount_exit_top_slima_vestlight_plr,,foley\mount\mount_exit_top_pkilo_vestlight_plr.LN.75.44100.all
weap_lm_slima_ads_down,,reloads\iw8_pkilo\wfoly_lm_pkilo_ads_down.LN.75.44100.all
weap_lm_slima_ads_up,,reloads\iw8_pkilo\wfoly_lm_pkilo_ads_up.LN.75.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_01.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_02.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_03.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_04.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_05.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_06.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_ads_01.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_ads_02.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_ads_03.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_ads_04.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_ads_05.LN.85.44100.all
weap_slima_disconnector_plr,,weapons\iw8_mike4\weap_mike4_fire_plr_disconnector_ads_06.LN.85.44100.all
weap_slima_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_slima_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_01.LN.85.44100.all
weap_slima_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_02.LN.85.44100.all
weap_slima_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_03.LN.85.44100.all
weap_slima_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_04.LN.85.44100.all
weap_slima_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_05.LN.85.44100.all
weap_slima_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_06.LN.85.44100.all
weap_slima_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_ads_01.LN.85.44100.all
weap_slima_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_ads_02.LN.85.44100.all
