Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_slima_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_slima_dryfirst_npc,,weapons\pkilo\weap_pkilo_prefire_npc_01.LN.85.44100.all
weap_slima_fire_npc,weap_slima_fire_npc_mech,weapons\slima\weap_slima_fire_npc_01.LN.75.44100.all
weap_slima_fire_npc,weap_slima_fire_npc_mech,weapons\slima\weap_slima_fire_npc_02.LN.75.44100.all
weap_slima_fire_npc,weap_slima_fire_npc_mech,weapons\slima\weap_slima_fire_npc_03.LN.75.44100.all
weap_slima_fire_npc,weap_slima_fire_npc_mech,weapons\slima\weap_slima_fire_npc_04.LN.75.44100.all
weap_slima_fire_npc,weap_slima_fire_npc_mech,weapons\slima\weap_slima_fire_npc_05.LN.75.44100.all
weap_slima_fire_npc,weap_slima_fire_npc_mech,weapons\slima\weap_slima_fire_npc_06.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_01.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_02.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_03.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_04.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_05.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_06.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_01.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_02.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_03.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_04.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_05.LN.75.44100.all
weap_slima_fire_npc_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_cls_int1_atmo_06.LN.75.44100.all
weap_slima_fire_npc_dist,weap_slima_fire_npc_dist_atmo,weapons\slima\weap_slima_fire_npc_dist_01.LN.85.48000.all
weap_slima_fire_npc_dist,weap_slima_fire_npc_dist_atmo,weapons\slima\weap_slima_fire_npc_dist_02.LN.85.48000.all
weap_slima_fire_npc_dist,weap_slima_fire_npc_dist_atmo,weapons\slima\weap_slima_fire_npc_dist_03.LN.85.48000.all
