Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_kalisticks_attack,,weapons\melee\kalisticks\melee_attack_kali_sticks_01.LN.75.36000.all
weap_kalisticks_attack,,weapons\melee\kalisticks\melee_attack_kali_sticks_02.LN.75.36000.all
weap_kalisticks_attack,,weapons\melee\kalisticks\melee_attack_kali_sticks_03.LN.75.36000.all
weap_kalisticks_attack,,weapons\melee\kalisticks\melee_attack_kali_sticks_04.LN.75.36000.all
weap_kalisticks_attack,,weapons\melee\kalisticks\melee_attack_kali_sticks_05.LN.75.36000.all
weap_kalisticks_attack,,weapons\melee\kalisticks\melee_attack_kali_sticks_06.LN.75.36000.all
weap_kalisticks_inspect_01,,weapons\melee\kalisticks\wfoly_me_kali_sticks_inspect_01.LN.75.36000.all
weap_kalisticks_inspect_02,,weapons\melee\kalisticks\wfoly_me_kali_sticks_inspect_02.LN.75.36000.all
weap_kalisticks_inspect_03,,weapons\melee\kalisticks\wfoly_me_kali_sticks_inspect_03.LN.75.36000.all
weap_kalisticks_inspect_04,,weapons\melee\kalisticks\wfoly_me_kali_sticks_inspect_04.LN.75.36000.all
weap_kalisticks_inspect_r_01,,weapons\melee\kalisticks\wfoly_me_kali_sticks_r_inspect_01.LN.75.36000.all
weap_kalisticks_inspect_r_02,,weapons\melee\kalisticks\wfoly_me_kali_sticks_r_inspect_02.LN.75.36000.all
weap_kalisticks_inspect_r_03,,weapons\melee\kalisticks\wfoly_me_kali_sticks_r_inspect_03.LN.75.36000.all
weap_kalisticks_pullout_plr,,weapons\melee\kalisticks\melee_ready_kali_sticks_01.LN.75.36000.all
weap_kalisticks_pullout_plr,,weapons\melee\kalisticks\melee_ready_kali_sticks_02.LN.75.36000.all
weap_kalisticks_pullout_plr,,weapons\melee\kalisticks\melee_ready_kali_sticks_03.LN.75.36000.all
weap_kalisticks_raise_first_plr,,weapons\melee\kalisticks\melee_first_raise_kali_sticks.LN.75.36000.all
