Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_aalpha12_vestlight_plr,,foley\mount\mount_enter_side_pkilo_vestlight_plr.LN.75.44100.all
mount_enter_top_aalpha12_vestlight_plr,,foley\mount\mount_enter_top_pkilo_vestlight_plr.LN.75.44100.all
mount_exit_side_aalpha12_vestlight_plr,,foley\mount\mount_exit_side_pkilo_vestlight_plr.LN.75.44100.all
mount_exit_top_aalpha12_vestlight_plr,,foley\mount\mount_exit_top_pkilo_vestlight_plr.LN.75.44100.all
weap_aalpha12_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_01.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_02.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_03.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_04.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_05.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_06.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_ads_01.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_ads_02.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_ads_03.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_ads_04.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_ads_05.LN.85.44100.all
weap_aalpha12_dryfirst_plr,,weapons\pkilo\weap_pkilo_deadtrigger_plr_ads_06.LN.85.44100.all
weap_aalpha12_fire_plr,weap_aalpha12_fire_plr_mech,weapons\aalpha12\weap_aalpha12_fire_plr_01.HN.85.48000.all
weap_aalpha12_fire_plr,weap_aalpha12_fire_plr_mech,weapons\aalpha12\weap_aalpha12_fire_plr_02.HN.85.48000.all
weap_aalpha12_fire_plr,weap_aalpha12_fire_plr_mech,weapons\aalpha12\weap_aalpha12_fire_plr_03.HN.85.48000.all
weap_aalpha12_fire_plr,weap_aalpha12_fire_plr_mech,weapons\aalpha12\weap_aalpha12_fire_plr_04.HN.85.48000.all
weap_aalpha12_fire_plr,weap_aalpha12_fire_plr_mech,weapons\aalpha12\weap_aalpha12_fire_plr_05.HN.85.48000.all
weap_aalpha12_fire_plr,weap_aalpha12_fire_plr_mech,weapons\aalpha12\weap_aalpha12_fire_plr_06.HN.85.48000.all
weap_aalpha12_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext3_01.LN.85.48000.all
