Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_aalpha12_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_aalpha12_dryfirst_npc,,weapons\pkilo\weap_pkilo_prefire_npc_01.LN.85.44100.all
weap_aalpha12_prefire_npc,,weapons\aalpha12\weap_aalpha12_prefire_npc_01.LN.85.44100.all
weap_aalpha12_sup_npc,weap_aalpha12_sup_npc_mech,weapons\aalpha12\weap_aalpha12_sup_npc_01.LN.75.44100.all
weap_aalpha12_sup_npc,weap_aalpha12_sup_npc_mech,weapons\aalpha12\weap_aalpha12_sup_npc_02.LN.75.44100.all
weap_aalpha12_sup_npc,weap_aalpha12_sup_npc_mech,weapons\aalpha12\weap_aalpha12_sup_npc_03.LN.75.44100.all
weap_aalpha12_sup_npc,weap_aalpha12_sup_npc_mech,weapons\aalpha12\weap_aalpha12_sup_npc_04.LN.75.44100.all
weap_aalpha12_sup_npc,weap_aalpha12_sup_npc_mech,weapons\aalpha12\weap_aalpha12_sup_npc_05.LN.75.44100.all
weap_aalpha12_sup_npc,weap_aalpha12_sup_npc_mech,weapons\aalpha12\weap_aalpha12_sup_npc_06.LN.75.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\exterior\shotgun_sup\weap_shotgun_sup_fire_npc_atmo_ext_cls1_01.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\exterior\shotgun_sup\weap_shotgun_sup_fire_npc_atmo_ext_cls1_02.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\exterior\shotgun_sup\weap_shotgun_sup_fire_npc_atmo_ext_cls1_03.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\exterior\shotgun_sup\weap_shotgun_sup_fire_npc_atmo_ext_cls1_04.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\exterior\shotgun_sup\weap_shotgun_sup_fire_npc_atmo_ext_cls1_05.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\exterior\shotgun_sup\weap_shotgun_sup_fire_npc_atmo_ext_cls1_06.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_01.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_02.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_03.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_04.LN.85.44100.all
weap_aalpha12_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_05.LN.85.44100.all
