Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_romeo700_vestlight_plr,,foley\mount\mount_enter_side_kilo98_vestlight_plr.LN.75.44100.all
mount_enter_top_romeo700_vestlight_plr,,foley\mount\mount_enter_top_kilo98_vestlight_plr.LN.75.44100.all
mount_exit_side_romeo700_vestlight_plr,,foley\mount\mount_exit_side_kilo98_vestlight_plr.LN.75.44100.all
mount_exit_top_romeo700_vestlight_plr,,foley\mount\mount_exit_top_kilo98_vestlight_plr.LN.75.44100.all
weap_romeo700_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_romeo700_fire_bang_plr,weap_romeo700_fire_plr_mech,weapons\romeo700\weap_romeo700_fire_bang_plr_01.HN.85.48000.all
weap_romeo700_fire_bang_plr,weap_romeo700_fire_plr_mech,weapons\romeo700\weap_romeo700_fire_bang_plr_02.HN.85.48000.all
weap_romeo700_fire_bang_plr,weap_romeo700_fire_plr_mech,weapons\romeo700\weap_romeo700_fire_bang_plr_03.HN.85.48000.all
weap_romeo700_fire_bang_plr,weap_romeo700_fire_plr_mech,weapons\romeo700\weap_romeo700_fire_bang_plr_04.HN.85.48000.all
weap_romeo700_fire_bang_plr,weap_romeo700_fire_plr_mech,weapons\romeo700\weap_romeo700_fire_bang_plr_05.HN.85.48000.all
weap_romeo700_fire_bang_plr,weap_romeo700_fire_plr_mech,weapons\romeo700\weap_romeo700_fire_bang_plr_06.HN.85.48000.all
weap_romeo700_fire_plr,weap_romeo700_fire_bang_plr,weapons\romeo700\weap_romeo700_fire_plr_mech_01.LN.85.44100.all
weap_romeo700_fire_plr,weap_romeo700_fire_bang_plr,weapons\romeo700\weap_romeo700_fire_plr_mech_ads_01.LN.85.44100.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext3_01.LN.85.48000.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext3_02.LN.85.48000.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext3_03.LN.85.48000.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext3_04.LN.85.48000.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext3_05.LN.85.48000.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext3_06.LN.85.48000.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_01.LN.85.48000.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_02.LN.85.48000.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_03.LN.85.44100.all
weap_romeo700_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_04.LN.85.44100.all
