Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_araccurate_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_araccurate_dryfirst_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_araccurate_fire_npc,weap_araccurate_fire_npc_mech,weapons_t9\ar_accurate\weap_ar_accurate_npc_01a.LN.85.44100.all
weap_araccurate_fire_npc,weap_araccurate_fire_npc_mech,weapons_t9\ar_accurate\weap_ar_accurate_npc_01b.LN.85.44100.all
weap_araccurate_fire_npc,weap_araccurate_fire_npc_mech,weapons_t9\ar_accurate\weap_ar_accurate_npc_01c.LN.85.44100.all
weap_araccurate_fire_npc,weap_araccurate_fire_npc_mech,weapons_t9\ar_accurate\weap_ar_accurate_npc_01d.LN.85.44100.all
weap_araccurate_fire_npc,weap_araccurate_fire_npc_mech,weapons_t9\ar_accurate\weap_ar_accurate_npc_01e.LN.85.44100.all
weap_araccurate_fire_npc,weap_araccurate_fire_npc_mech,weapons_t9\ar_accurate\weap_ar_accurate_npc_01f.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_01.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_02.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_03.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_04.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_05.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_06.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_01.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_02.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_03.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_04.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_05.LN.85.44100.all
weap_araccurate_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_06.LN.85.44100.all
weap_araccurate_fire_npc_dist,weap_araccurate_fire_npc_dist_atmo,weapons\iw8_ak\weap_akilo47_fire_npc_dist_01.LN.75.44100.all
weap_araccurate_fire_npc_dist,weap_araccurate_fire_npc_dist_atmo,weapons\iw8_ak\weap_akilo47_fire_npc_dist_02.LN.75.44100.all
