Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_arfasthandling_vestlight_plr,,foley\mount\mount_enter_side_kilo433_vestlight_plr.LN.75.44100.all
mount_enter_top_arfasthandling_vestlight_plr,,foley\mount\mount_enter_top_kilo433_vestlight_plr.LN.75.44100.all
mount_exit_side_arfasthandling_vestlight_plr,,foley\mount\mount_exit_side_kilo433_vestlight_plr.LN.75.44100.all
mount_exit_top_arfasthandling_vestlight_plr,,foley\mount\mount_exit_top_kilo433_vestlight_plr.LN.75.44100.all
weap_ar_arfasthandling_ads_down,,reloads\iw8_kilo433\weap_ar_kilo433_ads_down.LN.75.44100.all
weap_ar_arfasthandling_ads_up,,reloads\iw8_kilo433\weap_ar_kilo433_ads_up.LN.75.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_01.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_02.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_03.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_04.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_05.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_06.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_ads_01.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_ads_02.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_ads_03.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_ads_04.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_ads_05.LN.85.44100.all
weap_arfasthandling_disconnector_plr,,weapons\tango21\weap_tango21_disconnector_plr_ads_06.LN.85.44100.all
weap_arfasthandling_dryfire_plr,,weapons\tango21\weap_tango21_deadtrig_plr_01.LN.75.44100.all
weap_arfasthandling_dryfire_plr,,weapons\tango21\weap_tango21_deadtrig_plr_02.LN.75.44100.all
weap_arfasthandling_dryfire_plr,,weapons\tango21\weap_tango21_deadtrig_plr_03.LN.75.44100.all
weap_arfasthandling_dryfire_plr,,weapons\tango21\weap_tango21_deadtrig_plr_04.LN.75.44100.all
weap_arfasthandling_dryfire_plr,,weapons\tango21\weap_tango21_deadtrig_plr_05.LN.75.44100.all
weap_arfasthandling_dryfire_plr,,weapons\tango21\weap_tango21_deadtrig_plr_06.LN.75.44100.all
weap_arfasthandling_dryfire_plr,,weapons\tango21\weap_tango21_deadtrig_plr_ads_01.LN.75.44100.all
weap_arfasthandling_dryfire_plr,,weapons\tango21\weap_tango21_deadtrig_plr_ads_02.LN.75.44100.all
weap_arfasthandling_dryfire_plr,,weapons\tango21\weap_tango21_deadtrig_plr_ads_03.LN.75.44100.all
