Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_t9slowhandling_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_t9slowhandling_fire_npc,weap_t9slowhandling_fire_npc_mech,weapons_t9\ar_slowhandling\weap_ar_slowhandling_npc_02a.LN.75.44100.all
weap_t9slowhandling_fire_npc,weap_t9slowhandling_fire_npc_mech,weapons_t9\ar_slowhandling\weap_ar_slowhandling_npc_02b.LN.75.44100.all
weap_t9slowhandling_fire_npc,weap_t9slowhandling_fire_npc_mech,weapons_t9\ar_slowhandling\weap_ar_slowhandling_npc_02c.LN.75.44100.all
weap_t9slowhandling_fire_npc,weap_t9slowhandling_fire_npc_mech,weapons_t9\ar_slowhandling\weap_ar_slowhandling_npc_02d.LN.75.44100.all
weap_t9slowhandling_fire_npc,weap_t9slowhandling_fire_npc_mech,weapons_t9\ar_slowhandling\weap_ar_slowhandling_npc_02e.LN.75.44100.all
weap_t9slowhandling_fire_npc,weap_t9slowhandling_fire_npc_mech,weapons_t9\ar_slowhandling\weap_ar_slowhandling_npc_02f.LN.75.44100.all
weap_t9slowhandling_fire_npc_dist,weap_t9slowhandling_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4a.LN.85.48000.all
weap_t9slowhandling_fire_npc_dist,weap_t9slowhandling_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4b.LN.85.48000.all
weap_t9slowhandling_fire_npc_dist,weap_t9slowhandling_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4c.LN.85.48000.all
weap_t9slowhandling_fire_npc_dist,weap_t9slowhandling_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4d.LN.85.48000.all
weap_t9slowhandling_fire_npc_dist,weap_t9slowhandling_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4e.LN.85.48000.all
weap_t9slowhandling_fire_npc_dist,weap_t9slowhandling_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4f.LN.85.48000.all
weap_t9slowhandling_fire_npc_far,weap_t9slowhandling_fire_npc_far_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_far_m03a4a.LN.85.48000.all
weap_t9slowhandling_fire_npc_far,weap_t9slowhandling_fire_npc_far_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_far_m03a4b.LN.85.48000.all
weap_t9slowhandling_fire_npc_far,weap_t9slowhandling_fire_npc_far_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_far_m03a4c.LN.85.48000.all
weap_t9slowhandling_fire_npc_far,weap_t9slowhandling_fire_npc_far_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_far_m03a4d.LN.85.48000.all
weap_t9slowhandling_fire_npc_far,weap_t9slowhandling_fire_npc_far_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_far_m03a4e.LN.85.48000.all
