Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_lagrenade_fire_npc,weap_lagrenade_fire_npc_mech,weapons_t9\la_grenade\weap_la_grenade_fire_npc_01.LN.85.44100.all
weap_lagrenade_fire_npc,weap_lagrenade_fire_npc_mech,weapons_t9\la_grenade\weap_la_grenade_fire_npc_02.LN.85.44100.all
weap_lagrenade_fire_npc,weap_lagrenade_fire_npc_mech,weapons_t9\la_grenade\weap_la_grenade_fire_npc_03.LN.85.44100.all
weap_lagrenade_fire_npc,weap_lagrenade_fire_npc_mech,weapons_t9\la_grenade\weap_la_grenade_fire_npc_04.LN.85.44100.all
weap_lagrenade_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_atmo_ext_01.LN.85.44100.all
weap_lagrenade_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_atmo_ext_02.LN.85.44100.all
weap_lagrenade_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_atmo_ext_03.LN.85.44100.all
weap_lagrenade_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_atmo_ext_04.LN.85.44100.all
weap_lagrenade_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_01.LN.85.44100.all
weap_lagrenade_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_02.LN.85.44100.all
weap_lagrenade_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_03.LN.85.44100.all
weap_lagrenade_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_04.LN.85.44100.all
weap_lagrenade_fire_npc_dist,weap_lagrenade_fire_npc_dist_atmo,weapons\iw8_mike203\weap_mike203_fire_npc_dist_01.LN.75.44100.all
weap_lagrenade_fire_npc_dist,weap_lagrenade_fire_npc_dist_atmo,weapons\iw8_mike203\weap_mike203_fire_npc_dist_02.LN.75.44100.all
weap_lagrenade_fire_npc_dist,weap_lagrenade_fire_npc_dist_atmo,weapons\iw8_mike203\weap_mike203_fire_npc_dist_03.LN.75.44100.all
weap_lagrenade_fire_npc_dist,weap_lagrenade_fire_npc_dist_atmo,weapons\iw8_mike203\weap_mike203_fire_npc_dist_04.LN.75.44100.all
weap_lagrenade_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_dist_atmo_ext_01.LN.75.44100.all
weap_lagrenade_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_dist_atmo_ext_02.LN.75.44100.all
weap_lagrenade_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_dist_atmo_ext_03.LN.75.44100.all
weap_lagrenade_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_dist_atmo_ext_04.LN.75.44100.all
