Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_lmaccurate_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_lmaccurate_dryfirst_npc,,weapons\pkilo\weap_pkilo_prefire_npc_01.LN.85.44100.all
weap_lmaccurate_fire_npc,weap_lmaccurate_fire_npc_mech,weapons_t9\lm_accurate\weap_lm_accurate_npc_02a.LN.75.44100.all
weap_lmaccurate_fire_npc,weap_lmaccurate_fire_npc_mech,weapons_t9\lm_accurate\weap_lm_accurate_npc_02b.LN.75.44100.all
weap_lmaccurate_fire_npc,weap_lmaccurate_fire_npc_mech,weapons_t9\lm_accurate\weap_lm_accurate_npc_02c.LN.75.44100.all
weap_lmaccurate_fire_npc,weap_lmaccurate_fire_npc_mech,weapons_t9\lm_accurate\weap_lm_accurate_npc_02d.LN.75.44100.all
weap_lmaccurate_fire_npc,weap_lmaccurate_fire_npc_mech,weapons_t9\lm_accurate\weap_lm_accurate_npc_02e.LN.75.44100.all
weap_lmaccurate_fire_npc,weap_lmaccurate_fire_npc_mech,weapons_t9\lm_accurate\weap_lm_accurate_npc_02f.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\lmg\weap_lmg_fire_npc_atmo_ext_cls1_01.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\lmg\weap_lmg_fire_npc_atmo_ext_cls1_02.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\lmg\weap_lmg_fire_npc_atmo_ext_cls1_03.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\lmg\weap_lmg_fire_npc_atmo_ext_cls1_04.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\lmg\weap_lmg_fire_npc_atmo_ext_cls1_05.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\exterior\lmg\weap_lmg_fire_npc_atmo_ext_cls1_06.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_01.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_02.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_03.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_04.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_05.LN.75.44100.all
weap_lmaccurate_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_06.LN.75.44100.all
weap_lmaccurate_fire_npc_dist,weap_lmaccurate_fire_npc_dist_atmo,weapons\pkilo\weap_pkilo_fire_npc_dist_01.LN.85.48000.all
