Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_lm_light_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_lm_light_dryfirst_npc,,weapons\pkilo\weap_pkilo_prefire_npc_01.LN.85.44100.all
weap_lm_light_prefire_npc,,weapons\pkilo\weap_pkilo_prefire_npc_01.LN.85.44100.all
weap_lm_light_prefire_npc,,weapons\pkilo\weap_pkilo_prefire_npc_02.LN.75.44100.all
weap_lm_light_prefire_npc,,weapons\pkilo\weap_pkilo_prefire_npc_03.LN.75.44100.all
weap_lm_light_sup_npc,weap_lm_light_sup_npc_mech,weapons_t9\lm_light\weap_lm_light_npc_sup_01a.LN.75.44100.all
weap_lm_light_sup_npc,weap_lm_light_sup_npc_mech,weapons_t9\lm_light\weap_lm_light_npc_sup_01b.LN.75.44100.all
weap_lm_light_sup_npc,weap_lm_light_sup_npc_mech,weapons_t9\lm_light\weap_lm_light_npc_sup_01c.LN.75.44100.all
weap_lm_light_sup_npc,weap_lm_light_sup_npc_mech,weapons_t9\lm_light\weap_lm_light_npc_sup_01d.LN.75.44100.all
weap_lm_light_sup_npc,weap_lm_light_sup_npc_mech,weapons_t9\lm_light\weap_lm_light_npc_sup_01e.LN.75.44100.all
weap_lm_light_sup_npc,weap_lm_light_sup_npc_mech,weapons_t9\lm_light\weap_lm_light_npc_sup_01f.LN.75.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_01.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_02.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_03.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_04.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_05.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_06.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_01.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_02.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_03.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_04.LN.85.44100.all
weap_lm_light_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_05.LN.85.44100.all
