Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_lmslowfire_vestlight_plr,,foley\mount\mount_enter_side_kilo121_vestlight_plr.LN.75.44100.all
mount_enter_top_lmslowfire_vestlight_plr,,foley\mount\mount_enter_top_kilo121_vestlight_plr.LN.75.44100.all
mount_exit_side_lmslowfire_vestlight_plr,,foley\mount\mount_exit_side_kilo121_vestlight_plr.LN.75.44100.all
mount_exit_top_lmslowfire_vestlight_plr,,foley\mount\mount_exit_top_kilo121_vestlight_plr.LN.75.44100.all
weap_lm_lmslowfire_ads_down,,reloads\iw8_kilo121\wfoly_lm_kilo121_ads_down.LN.75.44100.all
weap_lm_lmslowfire_ads_up,,reloads\iw8_kilo121\wfoly_lm_kilo121_ads_up.LN.75.44100.all
weap_lm_lmslowfire_selector_off,,foley\selector\weap_m4_selector_semi_on_01.LN.75.48000.all
weap_lm_lmslowfire_selector_off,,foley\selector\weap_m4_selector_semi_on_02.LN.75.48000.all
weap_lm_lmslowfire_selector_off,,foley\selector\weap_m4_selector_semi_on_03.LN.75.48000.all
weap_lm_lmslowfire_selector_on,,foley\selector\weap_m4_selector_semi_on_01.LN.75.48000.all
weap_lm_lmslowfire_selector_on,,foley\selector\weap_m4_selector_semi_on_02.LN.75.48000.all
weap_lm_lmslowfire_selector_on,,foley\selector\weap_m4_selector_semi_on_03.LN.75.48000.all
weap_lmslowfire_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_lmslowfire_dryfirst_plr,,weapons\iw8_kilo121\weap_kilo121_prefire_plr_01.LN.85.44100.all
weap_lmslowfire_fire_plr,weap_lmslowfire_fire_plr_mech,weapons_t9\lm_slowfire\weap_lm_slowfire_start_05a.HN.85.44100.all
weap_lmslowfire_fire_plr,weap_lmslowfire_fire_plr_mech,weapons_t9\lm_slowfire\weap_lm_slowfire_start_05b.HN.85.44100.all
weap_lmslowfire_fire_plr,weap_lmslowfire_fire_plr_mech,weapons_t9\lm_slowfire\weap_lm_slowfire_start_05c.HN.85.44100.all
weap_lmslowfire_fire_plr,weap_lmslowfire_fire_plr_mech,weapons_t9\lm_slowfire\weap_lm_slowfire_start_05d.HN.85.44100.all
weap_lmslowfire_fire_plr,weap_lmslowfire_fire_plr_mech,weapons_t9\lm_slowfire\weap_lm_slowfire_start_05e.HN.85.44100.all
weap_lmslowfire_fire_plr,weap_lmslowfire_fire_plr_mech,weapons_t9\lm_slowfire\weap_lm_slowfire_start_05f.HN.85.44100.all
weap_lmslowfire_fire_plr_atmo,,weapons\atmo\exterior\ar\weap_ar5_fire_plr_atmo_ext1_01.LN.85.44100.all
weap_lmslowfire_fire_plr_atmo,,weapons\atmo\exterior\ar\weap_ar5_fire_plr_atmo_ext1_02.LN.85.44100.all
weap_lmslowfire_fire_plr_atmo,,weapons\atmo\exterior\ar\weap_ar5_fire_plr_atmo_ext1_03.LN.85.44100.all
weap_lmslowfire_fire_plr_atmo,,weapons\atmo\exterior\ar\weap_ar5_fire_plr_atmo_ext1_04.LN.85.44100.all
