Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_ballisticknife_dryfire_npc,,weapons\crossbow\weap_crossbow_dryfire_01.LN.85.48000.all
weap_ballisticknife_dryfire_plr,,weapons\crossbow\weap_crossbow_dryfire_01.LN.85.48000.all
weap_ballisticknife_fire_le_plr,,weapons_t9\me_ballisticknife\plr\left_hand\wpn_ballistic_knife_le_01.HN.85.48000.all
weap_ballisticknife_fire_le_plr,,weapons_t9\me_ballisticknife\plr\left_hand\wpn_ballistic_knife_le_02.HN.85.48000.all
weap_ballisticknife_fire_le_plr,,weapons_t9\me_ballisticknife\plr\left_hand\wpn_ballistic_knife_le_03.HN.85.48000.all
weap_ballisticknife_fire_le_plr,,weapons_t9\me_ballisticknife\plr\left_hand\wpn_ballistic_knife_le_04.HN.85.48000.all
weap_ballisticknife_fire_npc,,weapons_t9\me_ballisticknife\npc\wpn_ballistic_knife_npc_01.LN.85.48000.all
weap_ballisticknife_fire_npc,,weapons_t9\me_ballisticknife\npc\wpn_ballistic_knife_npc_02.LN.85.48000.all
weap_ballisticknife_fire_npc,,weapons_t9\me_ballisticknife\npc\wpn_ballistic_knife_npc_03.LN.85.48000.all
weap_ballisticknife_fire_npc,,weapons_t9\me_ballisticknife\npc\wpn_ballistic_knife_npc_04.LN.85.48000.all
weap_ballisticknife_fire_npc,,weapons_t9\me_ballisticknife\npc\wpn_ballistic_knife_npc_05.LN.85.48000.all
weap_ballisticknife_fire_ri_plr,,weapons_t9\me_ballisticknife\plr\right_hand\wpn_ballistic_knife_ri_01.HN.85.48000.all
weap_ballisticknife_fire_ri_plr,,weapons_t9\me_ballisticknife\plr\right_hand\wpn_ballistic_knife_ri_02.HN.85.48000.all
weap_ballisticknife_fire_ri_plr,,weapons_t9\me_ballisticknife\plr\right_hand\wpn_ballistic_knife_ri_03.HN.85.48000.all
weap_ballisticknife_fire_ri_plr,,weapons_t9\me_ballisticknife\plr\right_hand\wpn_ballistic_knife_ri_04.HN.85.48000.all
weap_ballisticknife_melee_plr,,weapons\melee\knife\attack\plr\melee_attack_knife_plr_01.LN.75.48000.all
weap_ballisticknife_melee_plr,,weapons\melee\knife\attack\plr\melee_attack_knife_plr_02.LN.75.48000.all
weap_ballisticknife_melee_plr,,weapons\melee\knife\attack\plr\melee_attack_knife_plr_03.LN.75.48000.all
weap_ballisticknife_melee_plr,,weapons\melee\knife\attack\plr\melee_attack_knife_plr_04.LN.75.48000.all
weap_ballisticknife_melee_plr,,weapons\melee\knife\attack\plr\melee_attack_knife_plr_05.LN.75.48000.all
weap_ballisticknife_melee_plr,,weapons\melee\knife\attack\plr\melee_attack_knife_plr_06.LN.75.48000.all
weap_sn_t9crossbow_ads_down,,reloads\iw8_delta\weap_sn_delta_ads_down.LN.75.44100.all
weap_sn_t9crossbow_ads_up,,reloads\iw8_delta\weap_sn_delta_ads_up.LN.75.44100.all
weap_t9crossbow_dryfire_plr,,weapons\crossbow\weap_crossbow_dryfire_01.LN.75.44100.all
