Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_baseballbat_attack_npc,,weapons\melee\kalisticks\melee_attack_kali_sticks_01.LN.75.36000.all
weap_baseballbat_attack_npc,,weapons\melee\kalisticks\melee_attack_kali_sticks_02.LN.75.36000.all
weap_baseballbat_attack_npc,,weapons\melee\kalisticks\melee_attack_kali_sticks_03.LN.75.36000.all
weap_baseballbat_attack_npc,,weapons\melee\kalisticks\melee_attack_kali_sticks_04.LN.75.36000.all
weap_baseballbat_attack_npc,,weapons\melee\kalisticks\melee_attack_kali_sticks_05.LN.75.36000.all
weap_baseballbat_attack_npc,,weapons\melee\kalisticks\melee_attack_kali_sticks_06.LN.75.36000.all
weap_baseballbat_attack_plr,,weapons\melee\kalisticks\melee_attack_kali_sticks_01.LN.75.36000.all
weap_baseballbat_attack_plr,,weapons\melee\kalisticks\melee_attack_kali_sticks_02.LN.75.36000.all
weap_baseballbat_attack_plr,,weapons\melee\kalisticks\melee_attack_kali_sticks_03.LN.75.36000.all
weap_baseballbat_attack_plr,,weapons\melee\kalisticks\melee_attack_kali_sticks_04.LN.75.36000.all
weap_baseballbat_attack_plr,,weapons\melee\kalisticks\melee_attack_kali_sticks_05.LN.75.36000.all
weap_baseballbat_attack_plr,,weapons\melee\kalisticks\melee_attack_kali_sticks_06.LN.75.36000.all
weap_baseballbat_crowd,,weapons_t9\me_baseballbat\weap_baseballbat_crowd_00.LN.85.48000.all
weap_baseballbat_crowd,,weapons_t9\me_baseballbat\weap_baseballbat_crowd_01.LN.85.48000.all
weap_baseballbat_crowd,,weapons_t9\me_baseballbat\weap_baseballbat_crowd_02.LN.85.48000.all
weap_baseballbat_hit,,weapons_t9\me_baseballbat\weap_baseballbat_hit_00.LN.85.48000.all
weap_baseballbat_hit,,weapons_t9\me_baseballbat\weap_baseballbat_hit_01.LN.85.48000.all
weap_baseballbat_hit_human,,weapons_t9\me_baseballbat\weap_baseballbat_hit_human_00.LN.85.48000.all
weap_baseballbat_hit_human,,weapons_t9\me_baseballbat\weap_baseballbat_hit_human_01.LN.85.48000.all
weap_baseballbat_layer,,weapons_t9\me_baseballbat\weap_baseballbat_layer.LN.85.48000.all
weap_baseballbat_pullout_plr,,weapons\melee\kalisticks\melee_ready_kali_sticks_01.LN.75.36000.all
weap_baseballbat_pullout_plr,,weapons\melee\kalisticks\melee_ready_kali_sticks_02.LN.75.36000.all
weap_baseballbat_pullout_plr,,weapons\melee\kalisticks\melee_ready_kali_sticks_03.LN.75.36000.all
weap_baseballbat_raise_first_npc,,weapons\melee\kalisticks\melee_first_raise_kali_sticks.LN.75.36000.all
weap_baseballbat_raise_first_plr,,weapons\melee\kalisticks\melee_first_raise_kali_sticks.LN.75.36000.all
