Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_melee_sai_first_raise_plr,,reloads\t9_melee\sai_first_raise.LN.75.44100.all
weap_sai_inspect_pt1,,reloads\t9_melee\sai_inspect_pt1.LN.75.44100.all
weap_sai_inspect_pt2,,reloads\t9_melee\sai_inspect_pt2.LN.75.44100.all
weap_sai_inspect_pt3,,reloads\t9_melee\sai_inspect_pt3.LN.75.44100.all
weap_sai_inspect_pt4,,reloads\t9_melee\sai_inspect_pt4.LN.75.44100.all
weap_sai_inspect_pt5,,reloads\t9_melee\sai_inspect_pt5.LN.75.44100.all
weap_sai_inspect_pt6,,reloads\t9_melee\sai_inspect_pt6.LN.75.44100.all
weap_sai_inspect_pt7,,reloads\t9_melee\sai_inspect_pt7.LN.75.44100.all
