Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_t9fullauto_vestlight_plr,,foley\mount\mount_enter_side_papa320_vestlight_plr.LN.75.44100.all
mount_enter_top_t9fullauto_vestlight_plr,,foley\mount\mount_enter_top_papa320_vestlight_plr.LN.75.44100.all
mount_exit_side_t9fullauto_vestlight_plr,,foley\mount\mount_exit_side_papa320_vestlight_plr.LN.75.44100.all
mount_exit_top_t9fullauto_vestlight_plr,,foley\mount\mount_exit_top_papa320_vestlight_plr.LN.75.44100.all
weap_pi_t9fullauto_ads_down,,reloads\iw8_papa320\weap_pi_papa320_ads_down.LN.75.44100.all
weap_pi_t9fullauto_ads_up,,reloads\iw8_papa320\weap_pi_papa320_ads_up.LN.75.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_01.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_02.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_03.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_04.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_05.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_06.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_ads_01.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_ads_02.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_ads_03.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_ads_04.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_ads_05.LN.85.44100.all
weap_t9fullauto_disconnector_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_ads_06.LN.85.44100.all
weap_t9fullauto_disconnector1_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_01.LN.85.44100.all
weap_t9fullauto_disconnector1_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_02.LN.85.44100.all
weap_t9fullauto_disconnector1_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_03.LN.85.44100.all
weap_t9fullauto_disconnector1_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_04.LN.85.44100.all
weap_t9fullauto_disconnector1_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_05.LN.85.44100.all
weap_t9fullauto_disconnector1_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_06.LN.85.44100.all
weap_t9fullauto_disconnector2_plr,,weapons\mike9a3\weap_mike9a3_disconnector_plr_01.LN.85.44100.all
