Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_pirevolver_vestlight_plr,,foley\mount\mount_enter_side_cpapa_vestlight_plr.LN.75.44100.all
mount_enter_top_pirevolver_vestlight_plr,,foley\mount\mount_enter_top_cpapa_vestlight_plr.LN.75.44100.all
mount_exit_side_pirevolver_vestlight_plr,,foley\mount\mount_exit_side_cpapa_vestlight_plr.LN.75.44100.all
mount_exit_top_pirevolver_vestlight_plr,,foley\mount\mount_exit_top_cpapa_vestlight_plr.LN.75.44100.all
weap_pi_pirevolver_ads_down,,reloads\iw8_cpapa\wfoly_pi_cpapa_ads_down.LN.75.44100.all
weap_pi_pirevolver_ads_up,,reloads\iw8_cpapa\wfoly_pi_cpapa_ads_up.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_01.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_02.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_03.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_04.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_05.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_06.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_ads_01.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_ads_02.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_ads_03.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_ads_04.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_ads_05.LN.75.44100.all
weap_pirevolver_dryfire_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_ads_06.LN.75.44100.all
weap_pirevolver_dryfire1_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_01.LN.75.44100.all
weap_pirevolver_dryfire1_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_02.LN.75.44100.all
weap_pirevolver_dryfire1_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_03.LN.75.44100.all
weap_pirevolver_dryfire1_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_04.LN.75.44100.all
weap_pirevolver_dryfire1_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_05.LN.75.44100.all
weap_pirevolver_dryfire1_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_06.LN.75.44100.all
weap_pirevolver_dryfire2_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_01.LN.75.44100.all
weap_pirevolver_dryfire2_plr,,weapons\cpapa\weap_cpapa_dryfire_plr_02.LN.75.44100.all
