Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_pirevolver_fire_npc,weap_pirevolver_fire_npc_mech,weapons_t9\pi_revolver\weap_pi_revolver_fire_npc_1.LN.75.48000.all
weap_pirevolver_fire_npc,weap_pirevolver_fire_npc_mech,weapons_t9\pi_revolver\weap_pi_revolver_fire_npc_2.LN.75.48000.all
weap_pirevolver_fire_npc,weap_pirevolver_fire_npc_mech,weapons_t9\pi_revolver\weap_pi_revolver_fire_npc_3.LN.75.48000.all
weap_pirevolver_fire_npc,weap_pirevolver_fire_npc_mech,weapons_t9\pi_revolver\weap_pi_revolver_fire_npc_4.LN.75.48000.all
weap_pirevolver_fire_npc,weap_pirevolver_fire_npc_mech,weapons_t9\pi_revolver\weap_pi_revolver_fire_npc_5.LN.75.48000.all
weap_pirevolver_fire_npc,weap_pirevolver_fire_npc_mech,weapons_t9\pi_revolver\weap_pi_revolver_fire_npc_6.LN.75.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_mag\weap_pistol_mag_fire_npc_atmo_ext1_01.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_mag\weap_pistol_mag_fire_npc_atmo_ext1_02.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_mag\weap_pistol_mag_fire_npc_atmo_ext1_03.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_mag\weap_pistol_mag_fire_npc_atmo_ext1_04.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_mag\weap_pistol_mag_fire_npc_atmo_ext1_05.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_mag\weap_pistol_mag_fire_npc_atmo_ext1_06.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_01.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_02.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_03.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_04.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_05.LN.85.48000.all
weap_pirevolver_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_06.LN.85.48000.all
weap_pirevolver_fire_npc_dist,weap_pirevolver_fire_npc_dist_atmo,weapons\decho\weap_decho_fire_npc_dist_01.LN.85.48000.all
weap_pirevolver_fire_npc_dist,weap_pirevolver_fire_npc_dist_atmo,weapons\decho\weap_decho_fire_npc_dist_02.LN.85.48000.all
