Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_shpump_dryfire_npc,,weapons\weap_dryfire_smg.LN.75.36000.all
weap_shpump_dryfirst_npc,,weapons\weap_dryfire_smg.LN.75.36000.all
weap_shpump_fire_npc,weap_shpump_fire_npc_mech,weapons_t9\sh_pump\weap_sh_pump_npc_04a.LN.85.48000.all
weap_shpump_fire_npc,weap_shpump_fire_npc_mech,weapons_t9\sh_pump\weap_sh_pump_npc_04b.LN.85.48000.all
weap_shpump_fire_npc,weap_shpump_fire_npc_mech,weapons_t9\sh_pump\weap_sh_pump_npc_04c.LN.85.48000.all
weap_shpump_fire_npc,weap_shpump_fire_npc_mech,weapons_t9\sh_pump\weap_sh_pump_npc_04d.LN.85.48000.all
weap_shpump_fire_npc,weap_shpump_fire_npc_mech,weapons_t9\sh_pump\weap_sh_pump_npc_04e.LN.85.48000.all
weap_shpump_fire_npc,weap_shpump_fire_npc_mech,weapons_t9\sh_pump\weap_sh_pump_npc_04f.LN.85.48000.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\exterior\shotgun\weap_shotgun_fire_npc_atmo_ext_cls1_01.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\exterior\shotgun\weap_shotgun_fire_npc_atmo_ext_cls1_02.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\exterior\shotgun\weap_shotgun_fire_npc_atmo_ext_cls1_03.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\exterior\shotgun\weap_shotgun_fire_npc_atmo_ext_cls1_04.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\exterior\shotgun\weap_shotgun_fire_npc_atmo_ext_cls1_05.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\exterior\shotgun\weap_shotgun_fire_npc_atmo_ext_cls1_06.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_01.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_02.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_03.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_04.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_05.LN.85.44100.all
weap_shpump_fire_npc_atmo,,weapons\atmo_npc\interior\shotgun\weap_shotgun_fire_npc_atmo_int_cls1_06.LN.85.44100.all
weap_shpump_fire_npc_dist,weap_shpump_fire_npc_dist_atmo,weapons\romeo870\weap_romeo870_fire_npc_dist_01.LN.75.44100.all
weap_shpump_fire_npc_dist,weap_shpump_fire_npc_dist_atmo,weapons\romeo870\weap_romeo870_fire_npc_dist_02.LN.75.44100.all
