Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_t9accurate_dryfire_npc,,weapons\weap_dryfire_smg.LN.75.36000.all
weap_t9accurate_fire_npc,weap_t9accurate_fire_npc_mech,weapons_t9\sm_accurate\weap_sm_accurate_npc_01a.LN.85.48000.all
weap_t9accurate_fire_npc,weap_t9accurate_fire_npc_mech,weapons_t9\sm_accurate\weap_sm_accurate_npc_01b.LN.85.48000.all
weap_t9accurate_fire_npc,weap_t9accurate_fire_npc_mech,weapons_t9\sm_accurate\weap_sm_accurate_npc_01c.LN.85.48000.all
weap_t9accurate_fire_npc,weap_t9accurate_fire_npc_mech,weapons_t9\sm_accurate\weap_sm_accurate_npc_01d.LN.85.48000.all
weap_t9accurate_fire_npc,weap_t9accurate_fire_npc_mech,weapons_t9\sm_accurate\weap_sm_accurate_npc_01e.LN.85.48000.all
weap_t9accurate_fire_npc,weap_t9accurate_fire_npc_mech,weapons_t9\sm_accurate\weap_sm_accurate_npc_01f.LN.85.48000.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol\weap_pistol_fire_npc_atmo_ext_cls1_01.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol\weap_pistol_fire_npc_atmo_ext_cls1_02.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol\weap_pistol_fire_npc_atmo_ext_cls1_03.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol\weap_pistol_fire_npc_atmo_ext_cls1_04.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol\weap_pistol_fire_npc_atmo_ext_cls1_05.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol\weap_pistol_fire_npc_atmo_ext_cls1_06.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_01.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_02.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_03.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_04.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_05.LN.85.44100.all
weap_t9accurate_fire_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_06.LN.85.44100.all
weap_t9accurate_fire_npc_dist,weap_t9accurate_fire_npc_dist_atmo,weapons\charlie9\weap_charlie9_fire_npc_dist_01.LN.75.44100.all
weap_t9accurate_fire_npc_dist,weap_t9accurate_fire_npc_dist_atmo,weapons\charlie9\weap_charlie9_fire_npc_dist_02.LN.75.44100.all
