Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_smcapacity_dryfire_npc,,weapons\weap_dryfire_smg.LN.75.36000.all
weap_smcapacity_sup_fire_npc,weap_smcapacity_sup_fire_npc_mech,weapons_t9\sm_capacity\weap_sm_capacity_sup_npc_01a.LN.85.48000.all
weap_smcapacity_sup_fire_npc,weap_smcapacity_sup_fire_npc_mech,weapons_t9\sm_capacity\weap_sm_capacity_sup_npc_01b.LN.85.48000.all
weap_smcapacity_sup_fire_npc,weap_smcapacity_sup_fire_npc_mech,weapons_t9\sm_capacity\weap_sm_capacity_sup_npc_01c.LN.85.48000.all
weap_smcapacity_sup_fire_npc,weap_smcapacity_sup_fire_npc_mech,weapons_t9\sm_capacity\weap_sm_capacity_sup_npc_01d.LN.85.48000.all
weap_smcapacity_sup_fire_npc,weap_smcapacity_sup_fire_npc_mech,weapons_t9\sm_capacity\weap_sm_capacity_sup_npc_01e.LN.85.48000.all
weap_smcapacity_sup_fire_npc,weap_smcapacity_sup_fire_npc_mech,weapons_t9\sm_capacity\weap_sm_capacity_sup_npc_01f.LN.85.48000.all
weap_smcapacity_sup_fire_npc_far,weap_smcapacity_sup_npc_far_atmo,weapons\iw8_mpapa5\weap_mpapa5_sup_npc_far_01.LN.75.44100.all
weap_smcapacity_sup_fire_npc_far,weap_smcapacity_sup_npc_far_atmo,weapons\iw8_mpapa5\weap_mpapa5_sup_npc_far_02.LN.75.44100.all
weap_smcapacity_sup_fire_npc_far,weap_smcapacity_sup_npc_far_atmo,weapons\iw8_mpapa5\weap_mpapa5_sup_npc_far_03.LN.75.44100.all
weap_smcapacity_sup_fire_npc_far,weap_smcapacity_sup_npc_far_atmo,weapons\iw8_mpapa5\weap_mpapa5_sup_npc_far_04.LN.75.44100.all
weap_smcapacity_sup_fire_npc_far,weap_smcapacity_sup_npc_far_atmo,weapons\iw8_mpapa5\weap_mpapa5_sup_npc_far_05.LN.75.44100.all
weap_smcapacity_sup_fire_npc_far,weap_smcapacity_sup_npc_far_atmo,weapons\iw8_mpapa5\weap_mpapa5_sup_npc_far_06.LN.75.44100.all
weap_smcapacity_sup_fire_npc_lfe,,weapons\iw8_mike4\weap_mike4_sup_plr_lfe_01.LN.85.48000.all
weap_smcapacity_sup_fire_npc_mech,weap_smcapacity_sup_fire_npc_lfe,weapons_t9\sm_capacity\weap_sm_capacity_npc_act_01a.LN.85.48000.all
weap_smcapacity_sup_fire_npc_mech,weap_smcapacity_sup_fire_npc_lfe,weapons_t9\sm_capacity\weap_sm_capacity_npc_act_01b.LN.85.48000.all
weap_smcapacity_sup_fire_npc_mech,weap_smcapacity_sup_fire_npc_lfe,weapons_t9\sm_capacity\weap_sm_capacity_npc_act_01c.LN.85.48000.all
weap_smcapacity_sup_fire_npc_mech,weap_smcapacity_sup_fire_npc_lfe,weapons_t9\sm_capacity\weap_sm_capacity_npc_act_01d.LN.85.48000.all
weap_smcapacity_sup_fire_npc_mech,weap_smcapacity_sup_fire_npc_lfe,weapons_t9\sm_capacity\weap_sm_capacity_npc_act_01e.LN.85.48000.all
