Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_smfastfire_vestlight_plr,,foley\mount\mount_enter_side_mike4_vestlight_plr.LN.75.44100.all
mount_enter_top_smfastfire_vestlight_plr,,foley\mount\mount_enter_top_mike4_vestlight_plr.LN.75.44100.all
mount_exit_side_smfastfire_vestlight_plr,,foley\mount\mount_exit_side_mike4_vestlight_plr.LN.75.44100.all
mount_exit_top_smfastfire_vestlight_plr,,foley\mount\mount_exit_top_mike4_vestlight_plr.LN.75.44100.all
weap_ar_smfastfire_selector_off,,foley\selector\weap_ar_mike4_selector_off.LN.75.48000.all
weap_ar_smfastfire_selector_on,,foley\selector\weap_ar_mike4_selector_on.LN.75.48000.all
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_01.LN.75.44100.all
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_02.LN.75.44100.all
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_03.LN.75.44100.all
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_01.LN.75.44100.all
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_02.LN.75.44100.all
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_03.LN.75.44100.all
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_01.LN.85.48000.all
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_02.LN.85.48000.all
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_03.LN.85.48000.all
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_04.LN.85.48000.all
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_05.LN.85.48000.all
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_06.LN.85.48000.all
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_01.LN.75.48000.all
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_03.LN.75.48000.all
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_04.LN.75.48000.all
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_06.LN.75.48000.all
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_01.LN.75.48000.all
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_02.LN.75.48000.all
