Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_kilo47_vestlight_plr,,foley\mount\mount_enter_side_kilo47_vestlight_plr.LN.75.44100.all
mount_enter_top_kilo47_vestlight_plr,,foley\mount\mount_enter_top_kilo47_vestlight_plr.LN.75.44100.all
mount_exit_side_kilo47_vestlight_plr,,foley\mount\mount_exit_side_kilo47_vestlight_plr.LN.75.44100.all
mount_exit_top_kilo47_vestlight_plr,,foley\mount\mount_exit_top_kilo47_vestlight_plr.LN.75.44100.all
weap_smnailgun_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_smnailgun_dryfirst_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_smnailgun_fire_npc,weap_smnailgun_fire_npc_mech,weapons_t9\sm_nailgun\weap_sm_nailgun_npc_01a.LN.85.44100.all
weap_smnailgun_fire_npc,weap_smnailgun_fire_npc_mech,weapons_t9\sm_nailgun\weap_sm_nailgun_npc_01b.LN.85.44100.all
weap_smnailgun_fire_npc,weap_smnailgun_fire_npc_mech,weapons_t9\sm_nailgun\weap_sm_nailgun_npc_01c.LN.85.44100.all
weap_smnailgun_fire_npc,weap_smnailgun_fire_npc_mech,weapons_t9\sm_nailgun\weap_sm_nailgun_npc_01d.LN.85.44100.all
weap_smnailgun_fire_npc,weap_smnailgun_fire_npc_mech,weapons_t9\sm_nailgun\weap_sm_nailgun_npc_01e.LN.85.44100.all
weap_smnailgun_fire_npc,weap_smnailgun_fire_npc_mech,weapons_t9\sm_nailgun\weap_sm_nailgun_npc_01f.LN.85.44100.all
weap_smnailgun_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_sup\weap_pistol_sup_fire_npc_atmo_ext_cls1_01.LN.85.44100.all
weap_smnailgun_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_sup\weap_pistol_sup_fire_npc_atmo_ext_cls1_02.LN.85.44100.all
weap_smnailgun_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_sup\weap_pistol_sup_fire_npc_atmo_ext_cls1_03.LN.85.44100.all
weap_smnailgun_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_sup\weap_pistol_sup_fire_npc_atmo_ext_cls1_04.LN.85.44100.all
weap_smnailgun_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_sup\weap_pistol_sup_fire_npc_atmo_ext_cls1_05.LN.85.44100.all
weap_smnailgun_fire_npc_atmo,,weapons\atmo_npc\exterior\pistol_sup\weap_pistol_sup_fire_npc_atmo_ext_cls1_06.LN.85.44100.all
weap_smnailgun_fire_npc_atmo,,weapons\atmo_npc\interior\sup\smg\weap_smg_sup_fire_npc_atmo_int_cls1_01.LN.85.44100.all
weap_smnailgun_fire_npc_atmo,,weapons\atmo_npc\interior\sup\smg\weap_smg_sup_fire_npc_atmo_int_cls1_02.LN.85.44100.all
weap_smnailgun_fire_npc_atmo,,weapons\atmo_npc\interior\sup\smg\weap_smg_sup_fire_npc_atmo_int_cls1_03.LN.85.44100.all
