Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_smseason6_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_smseason6_dryfirst_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_smseason6_fire_npc,weap_smseason6_fire_npc_mech,weapons_t9\sm_season6\weap_sm_season6_npc_02a.LN.85.44100.all
weap_smseason6_fire_npc,weap_smseason6_fire_npc_mech,weapons_t9\sm_season6\weap_sm_season6_npc_02b.LN.85.44100.all
weap_smseason6_fire_npc,weap_smseason6_fire_npc_mech,weapons_t9\sm_season6\weap_sm_season6_npc_02c.LN.85.44100.all
weap_smseason6_fire_npc,weap_smseason6_fire_npc_mech,weapons_t9\sm_season6\weap_sm_season6_npc_02d.LN.85.44100.all
weap_smseason6_fire_npc,weap_smseason6_fire_npc_mech,weapons_t9\sm_season6\weap_sm_season6_npc_02e.LN.85.44100.all
weap_smseason6_fire_npc,weap_smseason6_fire_npc_mech,weapons_t9\sm_season6\weap_sm_season6_npc_02f.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_01.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_02.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_03.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_04.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_05.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_06.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_01.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_02.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_03.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_04.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_05.LN.85.44100.all
weap_smseason6_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_06.LN.85.44100.all
weap_smseason6_fire_npc_dist,weap_smseason6_fire_npc_dist_atmo,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_01.LN.85.44100.all
weap_smseason6_fire_npc_dist,weap_smseason6_fire_npc_dist_atmo,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_02.LN.85.44100.all
