Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_sm_semiauto_vestlight_plr,,foley\mount\mount_enter_side_mpapa5_vestlight_plr.LN.75.44100.all
mount_enter_top_sm_semiauto_vestlight_plr,,foley\mount\mount_enter_top_mpapa5_vestlight_plr.LN.75.44100.all
mount_exit_side_sm_semiauto_vestlight_plr,,foley\mount\mount_exit_side_mpapa5_vestlight_plr.LN.75.44100.all
mount_exit_top_sm_semiauto_vestlight_plr,,foley\mount\mount_exit_top_mpapa5_vestlight_plr.LN.75.44100.all
weap_sm_semiauto_ads_down,,reloads\iw8_mpapa5\wfoly_sm_mpapa5_ads_down.LN.75.44100.all
weap_sm_semiauto_ads_up,,reloads\iw8_mpapa5\wfoly_sm_mpapa5_ads_up.LN.75.44100.all
weap_sm_semiauto_auto_fire_npc,weap_sm_semiauto_auto_fire_npc_mech,weapons_t9\sm_semiauto\weap_sm_semiauto_npc_02a.LN.85.48000.all
weap_sm_semiauto_auto_fire_npc,weap_sm_semiauto_auto_fire_npc_mech,weapons_t9\sm_semiauto\weap_sm_semiauto_npc_02b.LN.85.48000.all
weap_sm_semiauto_auto_fire_npc,weap_sm_semiauto_auto_fire_npc_mech,weapons_t9\sm_semiauto\weap_sm_semiauto_npc_02c.LN.85.48000.all
weap_sm_semiauto_auto_fire_npc,weap_sm_semiauto_auto_fire_npc_mech,weapons_t9\sm_semiauto\weap_sm_semiauto_npc_02d.LN.85.48000.all
weap_sm_semiauto_auto_fire_npc,weap_sm_semiauto_auto_fire_npc_mech,weapons_t9\sm_semiauto\weap_sm_semiauto_npc_02e.LN.85.48000.all
weap_sm_semiauto_auto_fire_npc,weap_sm_semiauto_auto_fire_npc_mech,weapons_t9\sm_semiauto\weap_sm_semiauto_npc_02f.LN.85.48000.all
weap_sm_semiauto_auto_fire_npc_dist,weap_sm_semiauto_auto_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_01.LN.75.44100.all
weap_sm_semiauto_auto_fire_npc_dist,weap_sm_semiauto_auto_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_02.LN.75.44100.all
weap_sm_semiauto_auto_fire_npc_dist,weap_sm_semiauto_auto_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_03.LN.75.44100.all
weap_sm_semiauto_auto_fire_npc_dist,weap_sm_semiauto_auto_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_04.LN.75.44100.all
weap_sm_semiauto_auto_fire_npc_dist,weap_sm_semiauto_auto_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_05.LN.75.44100.all
weap_sm_semiauto_auto_fire_npc_dist,weap_sm_semiauto_auto_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_06.LN.75.44100.all
weap_sm_semiauto_auto_fire_npc_far,weap_sm_semiauto_auto_npc_far_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_far_01.LN.75.44100.all
