Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_sm_standard_vestlight_plr,,foley\mount\mount_enter_side_mpapa5_vestlight_plr.LN.75.44100.all
mount_enter_top_sm_standard_vestlight_plr,,foley\mount\mount_enter_top_mpapa5_vestlight_plr.LN.75.44100.all
mount_exit_side_sm_standard_vestlight_plr,,foley\mount\mount_exit_side_mpapa5_vestlight_plr.LN.75.44100.all
mount_exit_top_sm_standard_vestlight_plr,,foley\mount\mount_exit_top_mpapa5_vestlight_plr.LN.75.44100.all
weap_sm_standard_ads_down,,reloads\iw8_mpapa5\wfoly_sm_mpapa5_ads_down.LN.75.44100.all
weap_sm_standard_ads_up,,reloads\iw8_mpapa5\wfoly_sm_mpapa5_ads_up.LN.75.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_01.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_02.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_03.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_04.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_05.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_06.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_ads_01.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_ads_02.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_ads_03.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_ads_04.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_ads_05.LN.85.44100.all
weap_sm_standard_disconnector_plr,,weapons\iw8_mpapa5\weap_mpapa5_disconnector_plr_ads_06.LN.85.44100.all
weap_sm_standard_dryfire_plr,,weapons\iw8_mpapa7\weap_mpapa7_deadtrigger_plr_01.LN.75.44100.all
weap_sm_standard_dryfire_plr,,weapons\iw8_mpapa7\weap_mpapa7_deadtrigger_plr_02.LN.75.44100.all
weap_sm_standard_dryfire_plr,,weapons\iw8_mpapa7\weap_mpapa7_deadtrigger_plr_03.LN.75.44100.all
weap_sm_standard_dryfire_plr,,weapons\iw8_mpapa7\weap_mpapa7_deadtrigger_plr_04.LN.75.44100.all
weap_sm_standard_dryfire_plr,,weapons\iw8_mpapa7\weap_mpapa7_deadtrigger_plr_05.LN.75.44100.all
weap_sm_standard_dryfire_plr,,weapons\iw8_mpapa7\weap_mpapa7_deadtrigger_plr_06.LN.75.44100.all
