Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_snaccurate_vestlight_plr,,foley\mount\mount_enter_side_kilo98_vestlight_plr.LN.75.44100.all
mount_enter_top_snaccurate_vestlight_plr,,foley\mount\mount_enter_top_kilo98_vestlight_plr.LN.75.44100.all
mount_exit_side_snaccurate_vestlight_plr,,foley\mount\mount_exit_side_kilo98_vestlight_plr.LN.75.44100.all
mount_exit_top_snaccurate_vestlight_plr,,foley\mount\mount_exit_top_kilo98_vestlight_plr.LN.75.44100.all
weap_sn_snaccurate_ads_down,,reloads\iw8_kilo98\wfoly_sn_kilo98_ads_down.LN.75.44100.all
weap_sn_snaccurate_ads_up,,reloads\iw8_kilo98\wfoly_sn_kilo98_ads_up.LN.75.44100.all
weap_snaccurate_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_snaccurate_fire_bang_plr,weap_snaccurate_fire_plr_mech,weapons_t9\sn_accurate\weap_sn_accurate_start_03a.HN.85.48000.all
weap_snaccurate_fire_bang_plr,weap_snaccurate_fire_plr_mech,weapons_t9\sn_accurate\weap_sn_accurate_start_03b.HN.85.48000.all
weap_snaccurate_fire_bang_plr,weap_snaccurate_fire_plr_mech,weapons_t9\sn_accurate\weap_sn_accurate_start_03c.HN.85.48000.all
weap_snaccurate_fire_bang_plr,weap_snaccurate_fire_plr_mech,weapons_t9\sn_accurate\weap_sn_accurate_start_03d.HN.85.48000.all
weap_snaccurate_fire_bang_plr,weap_snaccurate_fire_plr_mech,weapons_t9\sn_accurate\weap_sn_accurate_start_03e.HN.85.48000.all
weap_snaccurate_fire_bang_plr,weap_snaccurate_fire_plr_mech,weapons_t9\sn_accurate\weap_sn_accurate_start_03f.HN.85.48000.all
weap_snaccurate_fire_plr,weap_snaccurate_fire_bang_plr,weapons_t9\sn_accurate\weap_sn_accurate_start_act_01a.LN.85.44100.all
weap_snaccurate_fire_plr,weap_snaccurate_fire_bang_plr,weapons_t9\sn_accurate\weap_sn_accurate_start_act_01b.LN.85.44100.all
weap_snaccurate_fire_plr,weap_snaccurate_fire_bang_plr,weapons_t9\sn_accurate\weap_sn_accurate_start_act_01c.LN.85.44100.all
weap_snaccurate_fire_plr,weap_snaccurate_fire_bang_plr,weapons_t9\sn_accurate\weap_sn_accurate_start_act_01d.LN.85.44100.all
weap_snaccurate_fire_plr,weap_snaccurate_fire_bang_plr,weapons_t9\sn_accurate\weap_sn_accurate_start_act_01e.LN.85.44100.all
weap_snaccurate_fire_plr,weap_snaccurate_fire_bang_plr,weapons_t9\sn_accurate\weap_sn_accurate_start_act_01f.LN.85.44100.all
weap_snaccurate_fire_plr,weap_snaccurate_fire_bang_plr,weapons_t9\sn_accurate\weap_sn_accurate_start_act_ads_01a.LN.85.44100.all
weap_snaccurate_fire_plr,weap_snaccurate_fire_bang_plr,weapons_t9\sn_accurate\weap_sn_accurate_start_act_ads_01b.LN.85.44100.all
weap_snaccurate_fire_plr,weap_snaccurate_fire_bang_plr,weapons_t9\sn_accurate\weap_sn_accurate_start_act_ads_01c.LN.85.44100.all
