Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_t9cannon_vestlight_plr,,foley\mount\mount_enter_side_alpha50_vestlight_plr.LN.75.44100.all
mount_enter_top_t9cannon_vestlight_plr,,foley\mount\mount_enter_top_alpha50_vestlight_plr.LN.75.44100.all
mount_exit_side_t9cannon_vestlight_plr,,foley\mount\mount_exit_side_alpha50_vestlight_plr.LN.75.44100.all
mount_exit_top_t9cannon_vestlight_plr,,foley\mount\mount_exit_top_alpha50_vestlight_plr.LN.75.44100.all
weap_sn_t9cannon_ads_down,,reloads\iw8_alpha50\wfoly_sn_alpha50_ads_down.LN.75.44100.all
weap_sn_t9cannon_ads_up,,reloads\iw8_alpha50\wfoly_sn_alpha50_ads_up.LN.75.44100.all
weap_t9cannon_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_t9cannon_dryfirst_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_t9cannon_fire_bang_plr,weap_t9cannon_fire_plr_mech,weapons_t9\sn_cannon\weap_sn_cannon_start_03a.LN.85.48000.all
weap_t9cannon_fire_bang_plr,weap_t9cannon_fire_plr_mech,weapons_t9\sn_cannon\weap_sn_cannon_start_03b.LN.85.48000.all
weap_t9cannon_fire_bang_plr,weap_t9cannon_fire_plr_mech,weapons_t9\sn_cannon\weap_sn_cannon_start_03c.LN.85.48000.all
weap_t9cannon_fire_bang_plr,weap_t9cannon_fire_plr_mech,weapons_t9\sn_cannon\weap_sn_cannon_start_03d.LN.85.48000.all
weap_t9cannon_fire_bang_plr,weap_t9cannon_fire_plr_mech,weapons_t9\sn_cannon\weap_sn_cannon_start_03e.LN.85.48000.all
weap_t9cannon_fire_bang_plr,weap_t9cannon_fire_plr_mech,weapons_t9\sn_cannon\weap_sn_cannon_start_03f.LN.85.48000.all
weap_t9cannon_fire_plr,weap_t9cannon_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_01.LN.85.44100.all
weap_t9cannon_fire_plr,weap_t9cannon_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_02.LN.85.44100.all
weap_t9cannon_fire_plr,weap_t9cannon_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_03.LN.85.44100.all
weap_t9cannon_fire_plr,weap_t9cannon_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_04.LN.85.44100.all
weap_t9cannon_fire_plr,weap_t9cannon_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_05.LN.85.44100.all
weap_t9cannon_fire_plr,weap_t9cannon_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_06.LN.85.44100.all
weap_t9cannon_fire_plr,weap_t9cannon_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_ads_01.LN.85.44100.all
weap_t9cannon_fire_plr,weap_t9cannon_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_ads_02.LN.85.44100.all
