Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_t9crossbow_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_t9crossbow_fire_npc,weap_t9crossbow_fire_npc_mech,weapons_t9\sn_crossbow\weap_sn_crossbow_start_01a.LN.85.48000.all
weap_t9crossbow_fire_npc,weap_t9crossbow_fire_npc_mech,weapons_t9\sn_crossbow\weap_sn_crossbow_start_01b.LN.85.48000.all
weap_t9crossbow_fire_npc,weap_t9crossbow_fire_npc_mech,weapons_t9\sn_crossbow\weap_sn_crossbow_start_01c.LN.85.48000.all
weap_t9crossbow_fire_npc_atmo,,weapons\atmo\exterior\crossbow\weap_crossbow_atmo_01.LN.85.44100.all
weap_t9crossbow_fire_npc_atmo,,weapons\atmo\exterior\crossbow\weap_crossbow_atmo_02.LN.85.44100.all
weap_t9crossbow_fire_npc_atmo,,weapons\atmo\exterior\crossbow\weap_crossbow_atmo_03.LN.85.44100.all
weap_t9crossbow_fire_npc_atmo,,weapons\atmo\interior\crossbow\weap_crossbow_atmo_int_01.LN.85.44100.all
weap_t9crossbow_fire_npc_atmo,,weapons\atmo\interior\crossbow\weap_crossbow_atmo_int_02.LN.85.44100.all
weap_t9crossbow_fire_npc_atmo,,weapons\atmo\interior\crossbow\weap_crossbow_atmo_int_03.LN.85.44100.all
weap_t9crossbow_fire_npc_dist,weap_t9crossbow_fire_npc_dist_atmo,weapons\crossbow\weap_crossbow_fire_med_01.LN.85.44100.all
weap_t9crossbow_fire_npc_dist,weap_t9crossbow_fire_npc_dist_atmo,weapons\crossbow\weap_crossbow_fire_med_02.LN.85.44100.all
weap_t9crossbow_fire_npc_dist,weap_t9crossbow_fire_npc_dist_atmo,weapons\crossbow\weap_crossbow_fire_med_03.LN.85.44100.all
weap_t9crossbow_fire_npc_dist_atmo,,weapons\crossbow\weap_crossbow_fire_dist_01.LN.85.44100.all
weap_t9crossbow_fire_npc_dist_atmo,,weapons\crossbow\weap_crossbow_fire_dist_01.LN.85.44100.all
weap_t9crossbow_fire_npc_dist_atmo,,weapons\crossbow\weap_crossbow_fire_dist_03.LN.85.44100.all
weap_t9crossbow_fire_npc_dist_atmo,,weapons\atmo\interior\crossbow\weap_crossbow_atmo_int_01.LN.85.44100.all
weap_t9crossbow_fire_npc_dist_atmo,,weapons\atmo\interior\crossbow\weap_crossbow_atmo_int_02.LN.85.44100.all
weap_t9crossbow_fire_npc_dist_atmo,,weapons\atmo\interior\crossbow\weap_crossbow_atmo_int_03.LN.85.44100.all
weap_t9crossbow_fire_npc_far,weap_t9crossbow_fire_npc_far_atmo,
weap_t9crossbow_fire_npc_far_atmo,,
weap_t9crossbow_fire_npc_far_atmo,,
weap_t9crossbow_fire_npc_lfe,,weapons\crossbow\weap_crossbow_lfe_01.LN.100.48000.all
weap_t9crossbow_fire_npc_mech,weap_t9crossbow_fire_npc_lfe,weapons\crossbow\weap_crossbow_mech_ads_01.LN.85.48000.all
