Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_snpowersemi_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_snpowersemi_sup_npc,weap_snpowersemi_sup_npc_mech,weapons_t9\sn_power_semi\weap_sn_powersemi_sup_fire_npc_01a.LN.85.44100.all
weap_snpowersemi_sup_npc,weap_snpowersemi_sup_npc_mech,weapons_t9\sn_power_semi\weap_sn_powersemi_sup_fire_npc_01b.LN.85.44100.all
weap_snpowersemi_sup_npc,weap_snpowersemi_sup_npc_mech,weapons_t9\sn_power_semi\weap_sn_powersemi_sup_fire_npc_01c.LN.85.44100.all
weap_snpowersemi_sup_npc,weap_snpowersemi_sup_npc_mech,weapons_t9\sn_power_semi\weap_sn_powersemi_sup_fire_npc_01d.LN.85.44100.all
weap_snpowersemi_sup_npc,weap_snpowersemi_sup_npc_mech,weapons_t9\sn_power_semi\weap_sn_powersemi_sup_fire_npc_01e.LN.85.44100.all
weap_snpowersemi_sup_npc,weap_snpowersemi_sup_npc_mech,weapons_t9\sn_power_semi\weap_sn_powersemi_sup_fire_npc_01f.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\exterior\sniper_sup\weap_sniper_sup_fire_npc_cls_ext1_atmo_01.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\exterior\sniper_sup\weap_sniper_sup_fire_npc_cls_ext1_atmo_02.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\exterior\sniper_sup\weap_sniper_sup_fire_npc_cls_ext1_atmo_03.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\exterior\sniper_sup\weap_sniper_sup_fire_npc_cls_ext1_atmo_04.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\exterior\sniper_sup\weap_sniper_sup_fire_npc_cls_ext1_atmo_05.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\exterior\sniper_sup\weap_sniper_sup_fire_npc_cls_ext1_atmo_06.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_01.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_02.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_03.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_04.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_05.LN.85.44100.all
weap_snpowersemi_sup_npc_atmo,,weapons\atmo_npc\interior\sup\lmg\weap_lmg_sup_fire_npc_atmo_int_cls1_06.LN.85.44100.all
