Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_snquickscope_vestlight_plr,,foley\mount\mount_enter_side_kilo98_vestlight_plr.LN.75.44100.all
mount_enter_top_snquickscope_vestlight_plr,,foley\mount\mount_enter_top_kilo98_vestlight_plr.LN.75.44100.all
mount_exit_side_snquickscope_vestlight_plr,,foley\mount\mount_exit_side_kilo98_vestlight_plr.LN.75.44100.all
mount_exit_top_snquickscope_vestlight_plr,,foley\mount\mount_exit_top_kilo98_vestlight_plr.LN.75.44100.all
weap_sn_snquickscope_ads_down,,reloads\iw8_kilo98\wfoly_sn_kilo98_ads_down.LN.75.44100.all
weap_sn_snquickscope_ads_up,,reloads\iw8_kilo98\wfoly_sn_kilo98_ads_up.LN.75.44100.all
weap_snquickscope_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_snquickscope_fire_bang_plr,weap_snquickscope_fire_plr_mech,weapons_t9\sniper_quickscope\weap_sn_quickscope_start_07a.HN.85.48000.all
weap_snquickscope_fire_bang_plr,weap_snquickscope_fire_plr_mech,weapons_t9\sniper_quickscope\weap_sn_quickscope_start_07b.HN.85.48000.all
weap_snquickscope_fire_bang_plr,weap_snquickscope_fire_plr_mech,weapons_t9\sniper_quickscope\weap_sn_quickscope_start_07c.HN.85.48000.all
weap_snquickscope_fire_bang_plr,weap_snquickscope_fire_plr_mech,weapons_t9\sniper_quickscope\weap_sn_quickscope_start_07d.HN.85.48000.all
weap_snquickscope_fire_bang_plr,weap_snquickscope_fire_plr_mech,weapons_t9\sniper_quickscope\weap_sn_quickscope_start_07e.HN.85.48000.all
weap_snquickscope_fire_bang_plr,weap_snquickscope_fire_plr_mech,weapons_t9\sniper_quickscope\weap_sn_quickscope_start_07f.HN.85.48000.all
weap_snquickscope_fire_plr,weap_snquickscope_fire_bang_plr,weapons\romeo700\weap_romeo700_fire_plr_mech_01.LN.85.44100.all
weap_snquickscope_fire_plr,weap_snquickscope_fire_bang_plr,weapons\romeo700\weap_romeo700_fire_plr_mech_ads_01.LN.85.44100.all
weap_snquickscope_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext2_01.LN.85.48000.all
weap_snquickscope_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext2_02.LN.85.48000.all
weap_snquickscope_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext2_03.LN.85.48000.all
weap_snquickscope_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext2_04.LN.85.48000.all
weap_snquickscope_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext2_05.LN.85.48000.all
weap_snquickscope_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext2_06.LN.85.48000.all
weap_snquickscope_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_01.LN.85.48000.all
