Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
mount_enter_side_snstandard_vestlight_plr,,foley\mount\mount_enter_side_kilo98_vestlight_plr.LN.75.44100.all
mount_enter_top_snstandard_vestlight_plr,,foley\mount\mount_enter_top_kilo98_vestlight_plr.LN.75.44100.all
mount_exit_side_snstandard_vestlight_plr,,foley\mount\mount_exit_side_kilo98_vestlight_plr.LN.75.44100.all
mount_exit_top_snstandard_vestlight_plr,,foley\mount\mount_exit_top_kilo98_vestlight_plr.LN.75.44100.all
weap_sn_snstandard_ads_down,,reloads\iw8_kilo98\wfoly_sn_kilo98_ads_down.LN.75.44100.all
weap_sn_snstandard_ads_up,,reloads\iw8_kilo98\wfoly_sn_kilo98_ads_up.LN.75.44100.all
weap_snstandard_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_snstandard_fire_bang_plr,weap_snstandard_fire_plr_mech,weapons_t9\sn_standard\weap_sn_standard_fire_plr_01.HN.85.48000.all
weap_snstandard_fire_bang_plr,weap_snstandard_fire_plr_mech,weapons_t9\sn_standard\weap_sn_standard_fire_plr_02.HN.85.48000.all
weap_snstandard_fire_bang_plr,weap_snstandard_fire_plr_mech,weapons_t9\sn_standard\weap_sn_standard_fire_plr_03.HN.85.48000.all
weap_snstandard_fire_bang_plr,weap_snstandard_fire_plr_mech,weapons_t9\sn_standard\weap_sn_standard_fire_plr_04.HN.85.48000.all
weap_snstandard_fire_bang_plr,weap_snstandard_fire_plr_mech,weapons_t9\sn_standard\weap_sn_standard_fire_plr_05.HN.85.48000.all
weap_snstandard_fire_bang_plr,weap_snstandard_fire_plr_mech,weapons_t9\sn_standard\weap_sn_standard_fire_plr_06.HN.85.48000.all
weap_snstandard_fire_plr,weap_snstandard_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_01.LN.85.44100.all
weap_snstandard_fire_plr,weap_snstandard_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_02.LN.85.44100.all
weap_snstandard_fire_plr,weap_snstandard_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_03.LN.85.44100.all
weap_snstandard_fire_plr,weap_snstandard_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_04.LN.85.44100.all
weap_snstandard_fire_plr,weap_snstandard_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_05.LN.85.44100.all
weap_snstandard_fire_plr,weap_snstandard_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_06.LN.85.44100.all
weap_snstandard_fire_plr,weap_snstandard_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_ads_01.LN.85.44100.all
weap_snstandard_fire_plr,weap_snstandard_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_ads_02.LN.85.44100.all
weap_snstandard_fire_plr,weap_snstandard_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_ads_03.LN.85.44100.all
