Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_tur_gun_bt_mp_ads_down,,reloads\iw8_mgolf34\weap_lm_mgolf34_ads_down.LN.75.44100.all
weap_tur_gun_bt_mp_ads_up,,reloads\iw8_mgolf34\weap_lm_mgolf34_ads_up.LN.75.44100.all
weap_tur_gun_bt_mp_fire_plr,weap_tur_gun_bt_mp_fire_plr_mech,weapons\pkilo\weap_pkilo_fire_plr_01.HN.85.44100.all
weap_tur_gun_bt_mp_fire_plr,weap_tur_gun_bt_mp_fire_plr_mech,weapons\pkilo\weap_pkilo_fire_plr_02.HN.85.44100.all
weap_tur_gun_bt_mp_fire_plr,weap_tur_gun_bt_mp_fire_plr_mech,weapons\pkilo\weap_pkilo_fire_plr_03.HN.85.44100.all
weap_tur_gun_bt_mp_fire_plr,weap_tur_gun_bt_mp_fire_plr_mech,weapons\pkilo\weap_pkilo_fire_plr_04.HN.85.44100.all
weap_tur_gun_bt_mp_fire_plr,weap_tur_gun_bt_mp_fire_plr_mech,weapons\pkilo\weap_pkilo_fire_plr_05.HN.85.44100.all
weap_tur_gun_bt_mp_fire_plr,weap_tur_gun_bt_mp_fire_plr_mech,weapons\pkilo\weap_pkilo_fire_plr_06.HN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_01.LN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_02.LN.100.44100.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_03.LN.85.48000.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_04.LN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_05.LN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_06.LN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_01.LN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_02.LN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_03.LN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_04.LN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_lfe,,weapons\m4\weap_m4_fire_lfe1.HN.85.44100.all
weap_tur_gun_bt_mp_fire_plr_lfe,,weapons\m4\weap_m4_fire_lfe1.HN.85.44100.all
