Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_aa_turret_foley_in,,weapons\aa_turret_flak\weap_aa_turret_foley_in.LN.75.48000.all
weap_aa_turret_foley_out,,weapons\aa_turret_flak\weap_aa_turret_foley_out.LN.75.48000.all
weap_aa_turret_spin,,vehicles\bradley\bradley_turret_spin_1.LL.75.48000.all
weap_aa_turret_spin,,vehicles\bradley\bradley_turret_spin_2.LL.75.48000.all
weap_aa_turret_spin_stop,,vehicles\bradley\bradley_turret_stop_1.LL.75.48000.all
weap_aa_turret_spin_stop,,vehicles\bradley\bradley_turret_stop_2.LL.75.48000.all
weap_aa_turret_spin_stop,,vehicles\bradley\bradley_turret_stop_3.LL.75.48000.all
weap_aa_turret_spin_stop,,vehicles\bradley\bradley_turret_stop_4.LL.75.48000.all
weap_aa_turret_spin_stop_oneshot,,vehicles\bradley\bradley_turret_stop_1.LN.75.48000.all
weap_aa_turret_spin_stop_oneshot,,vehicles\bradley\bradley_turret_stop_2.LN.75.48000.all
weap_aa_turret_spin_stop_oneshot,,vehicles\bradley\bradley_turret_stop_3.LN.75.48000.all
weap_aa_turret_spin_stop_oneshot,,vehicles\bradley\bradley_turret_stop_4.LN.75.48000.all
weap_turret_aa__dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all
weap_turret_aa_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all
weap_turret_aa_engine_lp_plr,,weapons\aa_turret_flak\weap_mama2_aa_engine_lp.LL.75.48000.all
weap_turret_aa_engine_start_plr,weap_aa_turret_foley_in,weapons\aa_turret_flak\weap_mama2_aa_engine_start.LN.75.48000.all
weap_turret_aa_engine_stop_plr,weap_aa_turret_foley_out,weapons\aa_turret_flak\weap_mama2_aa_engine_stop.LN.75.48000.all
weap_turret_aa_fire_npc,weap_turret_aa_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_01.LN.75.44100.all
weap_turret_aa_fire_npc,weap_turret_aa_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_02.LN.75.44100.all
weap_turret_aa_fire_npc,weap_turret_aa_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_03.LN.75.44100.all
weap_turret_aa_fire_npc,weap_turret_aa_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_04.LN.75.44100.all
weap_turret_aa_fire_npc,weap_turret_aa_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_05.LN.75.44100.all
weap_turret_aa_fire_npc,weap_turret_aa_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_06.LN.75.44100.all
weap_turret_aa_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_01.LN.75.44100.all
weap_turret_aa_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_02.LN.75.44100.all
weap_turret_aa_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_03.LN.75.44100.all
