Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_balpha_399_fire_npc,,s4\mp\live_season\lasers\wpn_laser_shot_npc_shot_close_01.LN.85.44100.all
wpn_balpha_399_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_01.LN.75.44100.all
wpn_balpha_399_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_02.LN.75.44100.all
wpn_balpha_399_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_03.LN.75.44100.all
wpn_balpha_399_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_04.LN.75.44100.all
wpn_balpha_399_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_05.LN.75.44100.all
wpn_balpha_399_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_06.LN.75.44100.all
wpn_balpha_399_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_07.LN.75.44100.all
wpn_balpha_399_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_01.LN.75.44100.all
wpn_balpha_399_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_02.LN.75.44100.all
wpn_balpha_399_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_03.LN.75.44100.all
wpn_balpha_399_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_04.LN.75.44100.all
wpn_balpha_399_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_05.LN.75.44100.all
wpn_balpha_399_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_06.LN.75.44100.all
wpn_balpha_399_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_07.LN.75.44100.all
wpn_balpha_399_fire_npc_med,wpn_balpha_399_fire_npc_med_tail,s4\mp\live_season\lasers\wpn_laser_shot_npc_shot_med_01.LN.75.44100.all
wpn_balpha_399_fire_npc_med_tail,,s4\weapons\stango44\wpn_stango44_plr_shot_caldn_tail_01.LN.85.44100.all
wpn_balpha_399_fire_npc_med_tail,,s4\weapons\stango44\wpn_stango44_plr_shot_caldn_tail_02.LN.85.44100.all
wpn_balpha_399_fire_npc_med_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_01.LN.85.44100.all
wpn_balpha_399_fire_npc_med_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_02.LN.85.44100.all
wpn_balpha_399_fire_npc_med_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_03.LN.85.44100.all
wpn_balpha_399_fire_npc_tail,,s4\weapons\stango44\wpn_stango44_plr_shot_caldn_tail_01.LN.85.44100.all
wpn_balpha_399_fire_npc_tail,,s4\weapons\stango44\wpn_stango44_plr_shot_caldn_tail_02.LN.85.44100.all
wpn_balpha_399_fire_npc_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_01.LN.85.44100.all
wpn_balpha_399_fire_npc_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_02.LN.85.44100.all
