Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_01.LN.85.44100.all
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_02.LN.85.44100.all
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_03.LN.85.44100.all
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_04.LN.85.44100.all
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_05.LN.85.44100.all
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_06.LN.85.44100.all
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_07.LN.85.44100.all
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_08.LN.85.44100.all
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_09.LN.85.44100.all
wpn_balpha_502_space_fire_npc,,s4\weapons\balpha\wpn_balpha_npc_shot_close_10.LN.85.44100.all
wpn_balpha_502_space_fire_npc_dist,,s4\weapons\balpha\wpn_balpha_npc_shot_dist_01.LN.75.44100.all
wpn_balpha_502_space_fire_npc_dist,,s4\weapons\balpha\wpn_balpha_npc_shot_dist_02.LN.75.44100.all
wpn_balpha_502_space_fire_npc_dist,,s4\weapons\balpha\wpn_balpha_npc_shot_dist_03.LN.75.44100.all
wpn_balpha_502_space_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_2_npc_dist_01.LN.75.44100.all
wpn_balpha_502_space_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_2_npc_dist_02.LN.75.44100.all
wpn_balpha_502_space_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_2_npc_dist_03.LN.75.44100.all
wpn_balpha_502_space_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_2_npc_dist_04.LN.75.44100.all
wpn_balpha_502_space_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_2_npc_dist_05.LN.75.44100.all
wpn_balpha_502_space_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_2_npc_dist_06.LN.75.44100.all
wpn_balpha_502_space_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_2_npc_dist_07.LN.75.44100.all
wpn_balpha_502_space_fire_npc_first,,s4\weapons\balpha\wpn_balpha_npc_shot_close_first_01.LN.85.44100.all
wpn_balpha_502_space_fire_npc_first,,s4\weapons\balpha\wpn_balpha_npc_shot_close_first_02.LN.85.44100.all
wpn_balpha_502_space_fire_npc_first,,s4\weapons\balpha\wpn_balpha_npc_shot_close_first_03.LN.85.44100.all
wpn_balpha_502_space_fire_npc_med,wpn_balpha_502_space_fire_npc_med_tail,s4\weapons\balpha\wpn_balpha_npc_shot_mid_01.LN.75.44100.all
