Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_01.LN.85.44100.all
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_02.LN.85.44100.all
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_03.LN.85.44100.all
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_04.LN.85.44100.all
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_05.LN.85.44100.all
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_06.LN.85.44100.all
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_07.LN.85.44100.all
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_08.LN.85.44100.all
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_09.LN.85.44100.all
wpn_chotel15_fire_npc,,s4\weapons\chotel15\wpn_chotel15_npc_shot_close_10.LN.85.44100.all
wpn_chotel15_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_01.LN.75.44100.all
wpn_chotel15_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_02.LN.75.44100.all
wpn_chotel15_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_03.LN.75.44100.all
wpn_chotel15_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_04.LN.75.44100.all
wpn_chotel15_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_05.LN.75.44100.all
wpn_chotel15_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_01.LN.75.44100.all
wpn_chotel15_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_02.LN.75.44100.all
wpn_chotel15_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_03.LN.75.44100.all
wpn_chotel15_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_04.LN.75.44100.all
wpn_chotel15_fire_npc_far,,s4\weapons\distant\ar\wpn_ar_3_npc_dist_05.LN.75.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_01.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_02.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_03.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_04.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_05.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_06.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_07.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_08.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_09.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_10.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_11.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_12.LN.85.44100.all
wpn_chotel15_fire_npc_med,wpn_chotel15_fire_npc_med_tail,s4\weapons\chotel15\wpn_chotel15_npc_med_13.LN.85.44100.all
wpn_chotel15_fire_npc_med_tail,,s4\weapons\chotel15\wpn_chotel15_npc_shot_tail_med.LN.85.44100.all
wpn_chotel15_fire_npc_med_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_01.LN.85.44100.all
wpn_chotel15_fire_npc_med_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_02.LN.85.44100.all
wpn_chotel15_fire_npc_med_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_03.LN.85.44100.all
wpn_chotel15_fire_npc_tail,,s4\weapons\chotel15\wpn_chotel15_npc_shot_tail_close_01.LN.85.44100.all
wpn_chotel15_fire_npc_tail,,s4\weapons\chotel15\wpn_chotel15_npc_shot_tail_close_02.LN.85.44100.all
wpn_chotel15_fire_npc_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_01.LN.85.44100.all
wpn_chotel15_fire_npc_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_02.LN.85.44100.all
wpn_chotel15_fire_npc_tail,,weapons\tails\wpn_ar_npc_shot_tail_int_03.LN.85.44100.all
