Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
s4_amunition_ashes_death,s4_amunition_ashes_death_plr,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_02.LN.85.48000.all
s4_amunition_ashes_death,s4_amunition_ashes_death_plr,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_03.LN.85.48000.all
s4_amunition_ashes_death,s4_amunition_ashes_death_plr,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_01.LN.85.48000.all
s4_amunition_ashes_death_plr,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_plr_02.LN.85.48000.all
s4_amunition_ashes_death_plr,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_plr_03.LN.85.48000.all
s4_amunition_ashes_death_plr,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_plr_01.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_02.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_03.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_04.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_05.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_06.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_07.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_08.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_01.LN.85.48000.all
wpn_chotel41_fire_plr,wpn_chotel41_fire_plr_mech,s4\weapons\chotel41\wpn_ar_chotel41_plr_shot_01.HN.85.44100.all
wpn_chotel41_fire_plr,wpn_chotel41_fire_plr_mech,s4\weapons\chotel41\wpn_ar_chotel41_plr_shot_02.HN.85.44100.all
wpn_chotel41_fire_plr,wpn_chotel41_fire_plr_mech,s4\weapons\chotel41\wpn_ar_chotel41_plr_shot_03.HN.85.44100.all
wpn_chotel41_fire_plr,wpn_chotel41_fire_plr_mech,s4\weapons\chotel41\wpn_ar_chotel41_plr_shot_04.HN.85.44100.all
wpn_chotel41_fire_plr,wpn_chotel41_fire_plr_mech,s4\weapons\chotel41\wpn_ar_chotel41_plr_shot_05.HN.85.44100.all
wpn_chotel41_fire_plr,wpn_chotel41_fire_plr_mech,s4\weapons\chotel41\wpn_ar_chotel41_plr_shot_06.HN.85.44100.all
wpn_chotel41_fire_plr,wpn_chotel41_fire_plr_mech,s4\weapons\chotel41\wpn_ar_chotel41_plr_shot_07.HN.85.44100.all
wpn_chotel41_fire_plr,wpn_chotel41_fire_plr_mech,s4\weapons\chotel41\wpn_ar_chotel41_plr_shot_08.HN.85.44100.all
