Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_01.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_02.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_03.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_04.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_05.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_06.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_01.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_02.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_03.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_04.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_05.HN.85.44100.all
wpn_emike1_504_fire_plr_first_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_06.HN.85.44100.all
wpn_emike1_504_fire_plr_lp,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_lp_01.LL.85.44100.all
wpn_emike1_504_fire_plr_lp,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_lp_01.LL.85.44100.all
wpn_emike1_504_fire_plr_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_01.HN.85.44100.all
wpn_emike1_504_fire_plr_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_02.HN.85.44100.all
wpn_emike1_504_fire_plr_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_03.HN.85.44100.all
wpn_emike1_504_fire_plr_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_04.HN.85.44100.all
wpn_emike1_504_fire_plr_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_05.HN.85.44100.all
wpn_emike1_504_fire_plr_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_06.HN.85.44100.all
wpn_emike1_504_fire_plr_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_01.HN.85.44100.all
wpn_emike1_504_fire_plr_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_02.HN.85.44100.all
wpn_emike1_504_fire_plr_shot,,s4\mp\live_season\pestilence\wpn_emike1_504_plr_shot_03.HN.85.44100.all
