Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_emike1_503_chargedown_plr,,s4\weapons\emike1\wpn_emike1_503_plr_chargedown_01.HN.85.44100.all
wpn_emike1_503_chargedown_plr,,s4\weapons\emike1\wpn_emike1_503_plr_chargedown_01.HN.85.44100.all
wpn_emike1_503_chargeup_plr,wpn_emike1_503_chargeup_plr_sweetener,s4\weapons\emike1\wpn_emike1_503_plr_chargeup_01.HN.85.44100.all
wpn_emike1_503_chargeup_plr,wpn_emike1_503_chargeup_plr_sweetener,s4\weapons\emike1\wpn_emike1_503_plr_chargeup_01.HN.85.44100.all
wpn_emike1_503_chargeup_plr_sweetener,,s4\weapons\emike1\wpn_emike1_503_plr_chargeup_sweetener_01.HN.85.44100.all
wpn_emike1_503_chargeup_plr_sweetener,,s4\weapons\emike1\wpn_emike1_503_plr_chargeup_sweetener_01.HN.85.44100.all
wpn_emike1_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_01.LN.85.44100.all
wpn_emike1_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_02.LN.85.44100.all
wpn_emike1_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_03.LN.85.44100.all
wpn_emike1_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_04.LN.85.44100.all
wpn_emike1_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_shot_tail_int_01.LN.85.44100.all
wpn_emike1_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_shot_tail_int_02.LN.85.44100.all
wpn_emike1_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_shot_tail_int_03.LN.85.44100.all
wpn_emike1_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_shot_tail_int_04.LN.85.44100.all
wpn_emike1_503_plr_reload_chargeup,,s4\weapons\emike1\wpn_emike1_503_plr_reload_chargeup_01.LN.75.44100.all
wpn_emike1_503_plr_reload_close,,s4\weapons\emike1\wpn_emike1_503_plr_reload_close_01.LN.75.44100.all
wpn_emike1_503_plr_reload_cooloff,,s4\weapons\emike1\wpn_emike1_503_plr_reload_cooloff_01.LN.75.44100.all
wpn_emike1_503_plr_reload_done,,s4\weapons\emike1\wpn_emike1_503_plr_reload_done_01.LN.75.44100.all
wpn_emike1_503_plr_reload_movement,,s4\weapons\emike1\wpn_emike1_plr_reload_movement_01.LN.75.44100.all
wpn_emike1_503_plr_reload_settle,,s4\weapons\emike1\wpn_emike1_plr_reload_settle_01.LN.75.44100.all
wpn_emike1_503_plr_shot,,s4\weapons\emike1\wpn_emike1_503_plr_shot_05.HN.85.44100.all
wpn_emike1_503_plr_shot,,s4\weapons\emike1\wpn_emike1_503_plr_shot_06.HN.85.44100.all
wpn_emike1_503_plr_shot,,s4\weapons\emike1\wpn_emike1_503_plr_shot_07.HN.85.44100.all
wpn_emike1_503_plr_shot,,s4\weapons\emike1\wpn_emike1_503_plr_shot_08.HN.85.44100.all
wpn_emike1_503_plr_shot,,s4\weapons\emike1\wpn_emike1_503_plr_shot_05.HN.85.44100.all
wpn_emike1_503_plr_shot,,s4\weapons\emike1\wpn_emike1_503_plr_shot_06.HN.85.44100.all
wpn_emike1_503_plr_shot,,s4\weapons\emike1\wpn_emike1_503_plr_shot_07.HN.85.44100.all
wpn_emike1_503_plr_shot,,s4\weapons\emike1\wpn_emike1_503_plr_shot_08.HN.85.44100.all
wpn_emike1_insp,,s4\weapons\emike1\wpn_emike1_insp_01.LN.75.44100.all
wpn_emike1_insp_shldr,,s4\weapons\emike1\wpn_emike1_insp_shldr_01.LN.75.44100.all
wpn_emike1_insp_turn,,s4\weapons\emike1\wpn_emike1_insp_turn_01.LN.75.44100.all
wpn_emike1_plr_base_pullout,,s4\weapons\emike1\wpn_emike1_plr_base_pullout_01.LN.75.44100.all
wpn_emike1_plr_base_putaway,,s4\weapons\emike1\wpn_emike1_plr_base_putaway_01.LN.75.44100.all
wpn_emike1_plr_burst_pullout,,s4\weapons\emike1\wpn_emike1_plr_burst_pullout_01.LN.75.44100.all
wpn_emike1_plr_burst_putaway,,s4\weapons\emike1\wpn_emike1_plr_burst_putaway_01.LN.75.44100.all
wpn_emike1_plr_pullout_quick,,s4\weapons\emike1\wpn_emike1_insp_01.LN.75.44100.all
wpn_emike1_plr_reload_close,,s4\weapons\emike1\wpn_emike1_plr_reload_close_01.LN.75.44100.all
wpn_emike1_plr_reload_movement,,s4\weapons\emike1\wpn_emike1_plr_reload_movement_01.LN.75.44100.all
wpn_emike1_plr_reload_settle,,s4\weapons\emike1\wpn_emike1_plr_reload_settle_01.LN.75.44100.all
