Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_deathgun_sweetener_npc,,s4\mp\live_season\deathgun\wpn_valpha52_501_plr_shot_sweetener_01.LN.85.44100.all
wpn_deathgun_sweetener_npc,,s4\mp\live_season\deathgun\wpn_valpha52_501_plr_shot_sweetener_02.LN.85.44100.all
wpn_deathgun_sweetener_npc,,s4\mp\live_season\deathgun\wpn_valpha52_501_plr_shot_sweetener_03.LN.85.44100.all
wpn_deathgun_sweetener_npc,,s4\mp\live_season\deathgun\wpn_valpha52_501_plr_shot_sweetener_04.LN.85.44100.all
wpn_deathgun_sweetener_npc,,s4\mp\live_season\deathgun\wpn_valpha52_501_plr_shot_sweetener_05.LN.85.44100.all
wpn_deathgun_sweetener_npc,,s4\mp\live_season\deathgun\wpn_valpha52_501_plr_shot_sweetener_06.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_01.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_02.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_03.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_04.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_05.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_06.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_07.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_08.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_09.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_10.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_11.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_12.LN.85.44100.all
wpn_fecho_502_fire_npc,wpn_deathgun_sweetener_npc,s4\weapons\fecho\wpn_fecho_npc_shot_close_13.LN.85.44100.all
wpn_fecho_502_fire_npc_dist,,s4\weapons\stango44\wpn_stango44_npc_shot_dist_01.LN.75.44100.all
wpn_fecho_502_fire_npc_dist,,s4\weapons\stango44\wpn_stango44_npc_shot_dist_01.LN.75.44100.all
wpn_fecho_502_fire_npc_dist,,s4\weapons\stango44\wpn_stango44_npc_shot_dist_03.LN.75.44100.all
