Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_ar_insp_flames_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_flames_a.LN.75.44100.all
wpn_ar_insp_flames_b,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_flames_b.LN.75.44100.all
wpn_ar_insp_lrg_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_lrg_a.LN.75.44100.all
wpn_ar_insp_lrg_b,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_lrg_b.LN.75.44100.all
wpn_ar_insp_med_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_med_a.LN.75.44100.all
wpn_ar_insp_shldr_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_shldr_a.LN.75.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_01.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_02.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_03.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_04.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_05.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_06.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_07.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_08.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_09.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_10.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_11.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_12.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_13.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_14.HN.85.44100.all
wpn_fl_sword_fire_plr,wpn_fl_sword_fire_plr_mech,s4\weapons\flaming_sword\wpn_flame_plr_shot_15.HN.85.44100.all
