Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_01.LN.85.44100.all
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_02.LN.85.44100.all
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_03.LN.85.44100.all
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_04.LN.85.44100.all
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_05.LN.85.44100.all
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_06.LN.85.44100.all
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_07.LN.85.44100.all
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_08.LN.85.44100.all
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_09.LN.85.44100.all
wpn_fl_sword_fire_npc,,s4\weapons\flaming_sword\wpn_flame_npc_shot_10.LN.85.44100.all
wpn_fl_sword_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_01.LN.75.44100.all
wpn_fl_sword_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_02.LN.75.44100.all
wpn_fl_sword_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_03.LN.75.44100.all
wpn_fl_sword_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_04.LN.75.44100.all
wpn_fl_sword_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_05.LN.75.44100.all
wpn_fl_sword_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_06.LN.75.44100.all
wpn_fl_sword_fire_npc_dist,,s4\weapons\distant\ar\wpn_ar_1_npc_dist_07.LN.75.44100.all
wpn_fl_sword_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_01.LN.75.44100.all
wpn_fl_sword_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_02.LN.75.44100.all
wpn_fl_sword_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_03.LN.75.44100.all
wpn_fl_sword_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_04.LN.75.44100.all
wpn_fl_sword_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_05.LN.75.44100.all
wpn_fl_sword_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_06.LN.75.44100.all
wpn_fl_sword_fire_npc_dist_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_dist_int1_atmo_01.LN.85.44100.all
