Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
s4_amunition_ashes_death,s4_amunition_ashes_death_plr,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_02.LN.85.48000.all
s4_amunition_ashes_death,s4_amunition_ashes_death_plr,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_03.LN.85.48000.all
s4_amunition_ashes_death,s4_amunition_ashes_death_plr,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_01.LN.85.48000.all
s4_amunition_ashes_death_plr,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_plr_02.LN.85.48000.all
s4_amunition_ashes_death_plr,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_plr_03.LN.85.48000.all
s4_amunition_ashes_death_plr,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_plr_01.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_02.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_03.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_04.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_05.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_06.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_07.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_08.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_01.LN.85.48000.all
weap_ar_mike4_selector_off,,foley\selector\weap_ar_mike4_selector_off.LN.75.48000.all
weap_ar_mike4_selector_on,,foley\selector\weap_ar_mike4_selector_on.LN.75.48000.all
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_anubis_shot,,s4\mp\live_season\anubis\wpn_anubis_shot_01.HN.85.48000.all
wpn_anubis_shot,,s4\mp\live_season\anubis\wpn_anubis_shot_02.HN.85.48000.all
wpn_anubis_shot,,s4\mp\live_season\anubis\wpn_anubis_shot_03.HN.85.48000.all
wpn_anubis_shot,,s4\mp\live_season\anubis\wpn_anubis_shot_04.HN.85.48000.all
wpn_anubis_shot,,s4\mp\live_season\anubis\wpn_anubis_shot_05.HN.85.48000.all
wpn_anubis_shot,,s4\mp\live_season\anubis\wpn_anubis_shot_06.HN.85.48000.all
wpn_anubis_shot,,s4\mp\live_season\anubis\wpn_anubis_shot_07.HN.85.48000.all
