Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_flima35_npc_fire_loop,,s4\weapons\flima35\wpn_flima35_npc_shot_loop.LL.85.44100.all
wpn_flima35_npc_fire_start,,s4\weapons\flima35\wpn_flima35_npc_shot_start_01.LN.85.44100.all
wpn_flima35_npc_fire_start,,s4\weapons\flima35\wpn_flima35_npc_shot_start_02.LN.85.44100.all
wpn_flima35_npc_fire_start,,s4\weapons\flima35\wpn_flima35_npc_shot_start_03.LN.85.44100.all
wpn_flima35_npc_fire_start,,s4\weapons\flima35\wpn_flima35_npc_shot_start_04.LN.85.44100.all
wpn_flima35_npc_fire_start,,s4\weapons\flima35\wpn_flima35_npc_shot_start_05.LN.85.44100.all
wpn_flima35_npc_fire_start,,s4\weapons\flima35\wpn_flima35_npc_shot_start_06.LN.85.44100.all
wpn_flima35_npc_fire_stop,,s4\weapons\flima35\wpn_flima35_npc_shot_stop_01.LN.85.44100.all
wpn_flima35_npc_fire_stop,,s4\weapons\flima35\wpn_flima35_npc_shot_stop_02.LN.85.44100.all
wpn_flima35_npc_fire_stop,,s4\weapons\flima35\wpn_flima35_npc_shot_stop_03.LN.85.44100.all
wpn_flima35_npc_fire_stop,,s4\weapons\flima35\wpn_flima35_npc_shot_stop_04.LN.85.44100.all
