Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_mkilo11_plr_fire,wpn_mkilo11_plr_fire_mech,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_main_01.HN.85.44100.all
wpn_mkilo11_plr_fire,wpn_mkilo11_plr_fire_mech,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_main_02.HN.85.44100.all
wpn_mkilo11_plr_fire,wpn_mkilo11_plr_fire_mech,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_main_03.HN.85.44100.all
wpn_mkilo11_plr_fire,wpn_mkilo11_plr_fire_mech,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_main_04.HN.85.44100.all
wpn_mkilo11_plr_fire,wpn_mkilo11_plr_fire_mech,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_main_01.HN.85.44100.all
wpn_mkilo11_plr_fire,wpn_mkilo11_plr_fire_mech,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_main_02.HN.85.44100.all
wpn_mkilo11_plr_fire,wpn_mkilo11_plr_fire_mech,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_main_03.HN.85.44100.all
wpn_mkilo11_plr_fire,wpn_mkilo11_plr_fire_mech,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_main_04.HN.85.44100.all
wpn_mkilo11_plr_fire_low,wpn_walpha2_plr_fire_accent,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_low.HN.100.44100.all
wpn_mkilo11_plr_fire_low,wpn_walpha2_plr_fire_accent,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_low.HN.100.44100.all
wpn_mkilo11_plr_fire_mech,wpn_mkilo11_plr_fire_low,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_mech_01.HN.85.44100.all
wpn_mkilo11_plr_fire_mech,wpn_mkilo11_plr_fire_low,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_mech_02.HN.85.44100.all
wpn_mkilo11_plr_fire_mech,wpn_mkilo11_plr_fire_low,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_mech_03.HN.85.44100.all
wpn_mkilo11_plr_fire_mech,wpn_mkilo11_plr_fire_low,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_mech_04.HN.85.44100.all
wpn_mkilo11_plr_fire_mech,wpn_mkilo11_plr_fire_low,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_mech_01.HN.85.44100.all
wpn_mkilo11_plr_fire_mech,wpn_mkilo11_plr_fire_low,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_mech_02.HN.85.44100.all
wpn_mkilo11_plr_fire_mech,wpn_mkilo11_plr_fire_low,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_mech_03.HN.85.44100.all
wpn_mkilo11_plr_fire_mech,wpn_mkilo11_plr_fire_low,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_mech_04.HN.85.44100.all
wpn_mkilo11_plr_fire_tail,,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_tail_ext_01.HN.85.44100.all
wpn_mkilo11_plr_fire_tail,,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_tail_ext_02.HN.85.44100.all
wpn_mkilo11_plr_fire_tail,,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_tail_ext_03.HN.85.44100.all
wpn_mkilo11_plr_fire_tail,,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_tail_ext_04.HN.85.44100.all
wpn_mkilo11_plr_fire_tail,,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_tail_int_01.HN.85.44100.all
wpn_mkilo11_plr_fire_tail,,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_tail_int_02.HN.85.44100.all
wpn_mkilo11_plr_fire_tail,,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_tail_int_03.HN.85.44100.all
wpn_mkilo11_plr_fire_tail,,s4\weapons\mkilo11\wpn_mkilo11_plr_shot_tail_int_04.HN.85.44100.all
wpn_mkilo11_plr_reload_charge,,s4\weapons\mkilo11\wpn_mkilo11_plr_reload_charge.LN.75.44100.all
wpn_mkilo11_plr_reload_close,,s4\weapons\mkilo11\wpn_mkilo11_plr_reload_close.LN.75.44100.all
wpn_mkilo11_plr_reload_open,,s4\weapons\mkilo11\wpn_mkilo11_plr_reload_open.LN.75.44100.all
wpn_mkilo11_plr_reload_roundin,,s4\weapons\mkilo11\wpn_mkilo11_plr_reload_roundin.LN.75.44100.all
