Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_palpha42_fire_proj_lp,,s4\weapons\palpha42\wpn_palpha42_proj_lp.LL.85.44100.all
wpn_palpha42_plr_fire,,s4\weapons\palpha42\wpn_palpha42_plr_shot_01.HN.85.44100.all
wpn_palpha42_plr_fire,,s4\weapons\palpha42\wpn_palpha42_plr_shot_02.HN.85.44100.all
wpn_palpha42_plr_fire,,s4\weapons\palpha42\wpn_palpha42_plr_shot_03.HN.85.44100.all
wpn_palpha42_plr_fire,,s4\weapons\palpha42\wpn_palpha42_plr_shot_01.HN.85.44100.all
wpn_palpha42_plr_fire,,s4\weapons\palpha42\wpn_palpha42_plr_shot_02.HN.85.44100.all
wpn_palpha42_plr_fire,,s4\weapons\palpha42\wpn_palpha42_plr_shot_03.HN.85.44100.all
wpn_palpha42_plr_fire_tail,,s4\weapons\palpha42\wpn_palpha42_plr_tail_01.HN.85.44100.all
wpn_palpha42_plr_fire_tail,,s4\weapons\palpha42\wpn_palpha42_plr_tail_02.HN.85.44100.all
wpn_palpha42_plr_fire_tail,,s4\weapons\palpha42\wpn_palpha42_plr_tail_03.HN.85.44100.all
wpn_palpha42_plr_fire_tail,,s4\weapons\palpha\wpn_palpha_plr_low.HN.85.44100.all
wpn_palpha42_plr_reload_lower,,s4\weapons\palpha42\wpn_palpha42_plr_reload_lower.LN.75.44100.all
wpn_palpha42_plr_reload_rocketin,,s4\weapons\palpha42\wpn_palpha42_plr_reload_rocketin.LN.75.44100.all
