Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_palpha_fire_npc,,s4\weapons\palpha\wpn_palpha_npc_close_01.LN.85.44100.all
wpn_palpha_fire_npc_dist,,s4\weapons\palpha\wpn_palpha_npc_dist.LN.75.44100.all
wpn_palpha_fire_npc_far,,s4\weapons\palpha\wpn_palpha_npc_far.LN.75.44100.all
wpn_palpha_fire_npc_med,,s4\weapons\palpha\wpn_palpha_npc_med_01.LN.75.44100.all
wpn_palpha_fire_proj_lp,,s4\weapons\palpha42\wpn_palpha42_proj_lp.LL.85.44100.all
wpn_palpha_npc_reload_fpo,,s4\weapons\palpha\wpn_palpha_plr_reload_fpo.LN.75.44100.all
wpn_palpha_npc_reload_lower,,s4\weapons\palpha\wpn_palpha_plr_reload_lower.LN.75.44100.all
wpn_palpha_npc_reload_rocketin,,s4\weapons\palpha\wpn_palpha_plr_reload_rocketin.LN.75.44100.all
