Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_walpha2_plr_fire,wpn_walpha2_plr_fire_mech,s4\weapons\walpha2\wpn_walpha2_plr_shot_main_01.HN.85.44100.all
wpn_walpha2_plr_fire,wpn_walpha2_plr_fire_mech,s4\weapons\walpha2\wpn_walpha2_plr_shot_main_02.HN.85.44100.all
wpn_walpha2_plr_fire,wpn_walpha2_plr_fire_mech,s4\weapons\walpha2\wpn_walpha2_plr_shot_main_03.HN.85.44100.all
wpn_walpha2_plr_fire,wpn_walpha2_plr_fire_mech,s4\weapons\walpha2\wpn_walpha2_plr_shot_main_04.HN.85.44100.all
wpn_walpha2_plr_fire,wpn_walpha2_plr_fire_mech,s4\weapons\walpha2\wpn_walpha2_plr_shot_main_01.HN.85.44100.all
wpn_walpha2_plr_fire,wpn_walpha2_plr_fire_mech,s4\weapons\walpha2\wpn_walpha2_plr_shot_main_02.HN.85.44100.all
wpn_walpha2_plr_fire,wpn_walpha2_plr_fire_mech,s4\weapons\walpha2\wpn_walpha2_plr_shot_main_03.HN.85.44100.all
wpn_walpha2_plr_fire,wpn_walpha2_plr_fire_mech,s4\weapons\walpha2\wpn_walpha2_plr_shot_main_04.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_01.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_02.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_03.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_04.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_05.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_06.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_01.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_02.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_03.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_04.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_05.HN.85.44100.all
wpn_walpha2_plr_fire_accent,,s4\weapons\walpha2\wpn_walpha2_plr_shot_accent_06.HN.85.44100.all
wpn_walpha2_plr_fire_low,wpn_walpha2_plr_fire_accent,s4\weapons\walpha2\wpn_walpha2_plr_shot_low_01.HN.100.44100.all
wpn_walpha2_plr_fire_low,wpn_walpha2_plr_fire_accent,s4\weapons\walpha2\wpn_walpha2_plr_shot_low_01.HN.100.44100.all
